star_id,pl_orbper,pl_tranmid,pl_trandurh,mission
EPIC 205686202,13.156969,2456897.14325,4.032,k2
EPIC 205904628,9.978541,2457299.2465,3.6,k2
EPIC 205924614,2.849271,2456983.4229,2.006,k2
EPIC 205950854,15.8523,2456975.03774,3.792,k2
EPIC 206007892,6.380803,2456982.00971,3.096,k2
EPIC 206008091,12.400047,2456985.66694,4.176,k2
EPIC 206008091,7.576544,2456986.18553,3.432,k2
EPIC 206011496,2.36902,2457017.18078,2.3088,k2
EPIC 206024342,14.647531,2456985.47506,4.008,k2
EPIC 206024342,0.911724,2457016.52991,1.416,k2
EPIC 206026136,9.0073,2457011.3568,2.58,k2
EPIC 206026904,7.05254,2456986.9763,1.899,k2
EPIC 206026904,2.53726,2456982.12,1.996,k2
EPIC 206026904,22.8827,2456998.0703,3.2,k2
EPIC 206027655,20.6921,2456987.0603,2.76,k2
EPIC 206027655,11.2954,2456986.7095,1.75,k2
EPIC 206038483,3.00265,2456928.0593,3.08,k2
EPIC 206042996,0.354884,2457007.06827,1.0699999999992,k2
EPIC 206044803,2.57336,2456983.214,2.33,k2
EPIC 206049764,5.628466,2456979.46712,8.208,k2
EPIC 206055981,20.645099,2456997.3941,2.376,k2
EPIC 206082454,29.62682,2456993.53984,4.992,k2
EPIC 206082454,14.316941,2456982.29487,3.84,k2
EPIC 206096602,6.67199,2456982.685,1.56,k2
EPIC 206096602,16.19697,2456991.5453,1.29,k2
EPIC 206101302,25.4556,2456983.6454,4.24,k2
EPIC 206101302,20.257,2456989.5929,5.49,k2
EPIC 206119924,4.655411,2456979.948,1.89,k2
EPIC 206125618,6.53044,2456986.1918,3.06,k2
EPIC 201528828,14.101361,2457586.7581,2.70783725139596,k2
EPIC 201595106,0.87724,2457583.04429,1.0008,k2
EPIC 201615463,8.52695,2457586.7635,3.7,k2
EPIC 210667381,5.329439,2457066.78593,2.76,k2
EPIC 210965800,8.747818,2457070.33656,3.4272,k2
EPIC 211562654,0.469285,2457196.91237,1.5408,k2
EPIC 211611158,10.616384,2457144.727092,2.6,k2
EPIC 211611158,52.713494,2457159.157391,4.64,k2
EPIC 211682544,50.818947,2458111.1274,3.4872,k2
EPIC 211906650,41.474219,2457154.8454,6.12,k2
EPIC 211978988,36.552551,2457152.708694,6.25,k2
EPIC 212157262,0.77401,2457184.43637,1.5792,k2
EPIC 212394689,2.58812,2457222.1466,2.22,k2
EPIC 212689874,28.482786,2457243.00895,5.976,k2
EPIC 216008129,1.05979,2457301.98415,1.7496,k2
EPIC 216008129,22.779878,2457319.78302,3.648,k2
EPIC 216405287,3.405164,2457304.25153,2.0328,k2
EPIC 217192839,7.9389334,2457304.844,1.464,k2
EPIC 217192839,26.803023,2457307.9152,2.928,k2
EPIC 217977895,21.700156,2457314.3647,4.104,k2
EPIC 218668602,1.865962,2457302.0928,1.9632,k2
EPIC 220170303,9.6952,2457435.4189,3.1032,k2
EPIC 220186645,7.055908,2457452.955,4.5696,k2
EPIC 220211923,26.672263,2457413.41914,6.048,k2
EPIC 220218012,12.48749,2457403.64459,4.296,k2
EPIC 220225178,4.19097,2457430.039,1.944,k2
EPIC 220256496,0.669561,2457432.6479,1.2912,k2
EPIC 220471666,8.269648,2457394.33225,2.232,k2
EPIC 220487418,14.074524,2457395.00447,5.688,k2
EPIC 220503236,8.679885,2457396.45914,3.84,k2
EPIC 220592745,3.901287,2457396.7453,3.408,k2
EPIC 220592745,6.66767,2457398.41574,4.824,k2
EPIC 220592745,11.137278,2457404.59425,4.896,k2
EPIC 220650439,2.399094,2457395.35581,2.5032,k2
EPIC 228721452,0.50557,2457637.66396,0.9,k2
EPIC 228721452,4.562546,2457628.61208,2.8,k2
EPIC 228725972,4.47904,2457585.6719,2.4,k2
EPIC 228725972,10.09489,2457588.4157,3.6,k2
EPIC 228734900,15.8723,2457619.1111,6.192,k2
EPIC 228736155,3.27109,2457620.0082,2.3232,k2
EPIC 228798746,2.69828,2457583.1943,1.5,k2
EPIC 228801451,0.584216,2457646.56655,1.5,k2
EPIC 228801451,8.32727,2457586.3431,2.5,k2
EPIC 228804845,2.86041,2457582.5918,2.6,k2
EPIC 229004835,16.141132,2457920.44584,2.1,k2
EPIC 229131722,15.48043,2457585.7094,4.2,k2
EPIC 210403955,28.867253,2457082.93709,4.224,k2
EPIC 228836835,0.728113,2457585.45061,0.7992,k2
EPIC 211502222,22.996591,2458113.304754,4.43,k2
EPIC 211647930,14.759287,2458097.395983,4.96,k2
EPIC 211730024,5.113981,2458096.810228,2.46,k2
EPIC 212058012,11.561052,2458099.10726,3.73,k2
EPIC 212072539,7.676972,2457144.624554,2.2,k2
EPIC 212081533,3.35585,2458095.747731,1.76,k2
EPIC 212204403,4.688418,2458096.716772,2.75,k2
EPIC 212204403,12.550171,2458104.435651,3.68,k2
EPIC 251319382,8.234885,2458098.716929,3.59,k2
EPIC 251319382,14.871387,2458103.622842,4.14,k2
EPIC 212048748,5.7459982,2459503.32682,1.693,k2
EPIC 251279430,0.719573,2458134.4244,1.7976,k2
EPIC 212178066,15.611,2458095.9,3.304,k2
EPIC 206135682,20.201085,2456988.5374,3.576,k2
EPIC 206135682,9.660186,2456977.8722,2.856,k2
EPIC 206135682,5.025598,2456978.7672,2.28,k2
EPIC 206144956,12.6475,2456986.3303,3.43,k2
EPIC 206146957,5.761612,2456979.8716,2.232,k2
EPIC 206153219,5.06963,2456984.0075,4.71,k2
EPIC 206159027,8.05428,2456982.3281,2.72,k2
EPIC 206162305,7.06599,2456982.7825,1.62,k2
EPIC 206181769,13.97896,2456984.4435,3.52,k2
EPIC 206192813,6.98541,2456987.3785,1.41,k2
EPIC 206209135,5.577212,2457010.376,1.67,k2
EPIC 206245553,7.49556,2456987.6726,3.5904,k2
EPIC 206247743,4.60543,2456985.4268,8.184,k2
EPIC 206268299,19.5666,2456997.9992,5.12,k2
EPIC 206317286,17.515472,2456977.8215,3.936,k2
EPIC 206318379,2.260455,2456977.99012,0.9816,k2
EPIC 206348688,7.8142,2456983.451,5.48,k2
EPIC 206348688,18.311,2456992.715,6.42,k2
EPIC 210707130,0.68453862616,2457065.36778,0.8184,k2
EPIC 205916793,9.7833,2457012.2875,2.7888,k2
EPIC 206209135,15.189034,2456989.465,2.15,k2
EPIC 206209135,7.760178,2456984.788,1.45,k2
EPIC 206209135,24.158868,2456987.054,2.25,k2
EPIC 210363145,8.2000844,2457316.80766,2.544,k2
EPIC 210402237,10.9947,2457103.2275,4.4856,k2
EPIC 210403955,19.0918,2457077.61,4.46,k2
EPIC 210403955,5.605,2457066.4842,2.68,k2
EPIC 210448987,6.102325,2457070.44,2.15,k2
EPIC 210508766,2.74697,2457067.0633,1.664,k2
EPIC 210508766,9.99767,2457066.2703,2.77,k2
EPIC 210558622,19.562307,2457083.77917,5.808,k2
EPIC 210577548,6.4215,2457071.4212,2.81,k2
EPIC 210577548,27.86,2457068.615,4.61,k2
EPIC 210718708,8.77683,2457070.0173,2.75,k2
EPIC 210731500,9.726618,2457072.30232,4.56,k2
EPIC 210750726,4.6122,2457066.2194,1.039,k2
EPIC 210838726,1.096026,2457066.0066,0.895,k2
EPIC 210894022,5.3518,2457100.0768,3.38,k2
EPIC 210968143,13.733314,2457078.66112,2.952,k2
EPIC 210968143,2.900706,2457066.74,1.3032,k2
EPIC 211077024,1.419549,2457065.4319,0.945,k2
EPIC 211314705,3.793306,2457140.22597,1.53,k2
EPIC 211319617,8.865663,2457489.1566,2.8488,k2
EPIC 211331236,1.2916,2457142.77452,1.152,k2
EPIC 211351816,8.407115,2457722.1447,6.2712,k2
EPIC 211355342,6.8941,2457143.7948,2.52,k2
EPIC 211359660,4.7369696,2457652.79755,2.56632,k2
EPIC 211391664,10.1367349,2457662.95321,5.1216,k2
EPIC 211399359,3.114905,2457141.4176,2.3592,k2
EPIC 211401787,13.774798,2457151.064162,4.57,k2
EPIC 211413752,9.327527,2457140.84665,3.35,k2
EPIC 211418729,11.390931,2457687.08869,3.9696,k2
EPIC 211442297,20.2729914,2457522.07014,3.8736,k2
EPIC 211490999,9.844077,2457146.3287,3.6288,k2
EPIC 211491383,4.144965,2457141.59855,2.7096,k2
EPIC 211509553,20.35847252,2459553.7138,3.574,k2
EPIC 211525389,8.26726,2457147.98867,3.43,k2
EPIC 211529065,4.400028,2457142.9751,1.56,k2
EPIC 211562654,10.787992,2457212.47321,3.8496,k2
EPIC 211579112,17.70632,2457156.420746,2.03,k2
EPIC 211594205,16.9780102,2457148.5253369,2.4912,k2
EPIC 211713099,8.562421,2457149.71271,3.24,k2
EPIC 211736671,4.733999,2457145.09609,3.5496,k2
EPIC 211743874,12.283211,2457148.209626,4.31,k2
EPIC 211763214,21.194733,2457146.585567,4.65,k2
EPIC 211770696,16.273563,2457145.963531,7.64,k2
EPIC 211770795,7.727283,2457148.83106,2.904,k2
EPIC 211779390,3.850614,2457141.526349,1.78,k2
EPIC 211816003,14.4536756,2457144.8541321,3.220000000008,k2
EPIC 211818569,5.185738,2457143.5607,2.0304,k2
EPIC 211919004,11.7195663,2457149.0961619,4.872,k2
EPIC 211923431,29.740451,2457143.815863,5.29,k2
EPIC 211924657,2.6446,2458204.5902,1.32,k2
EPIC 211945201,19.49221,2457158.82477,3.91,k2
EPIC 211969807,1.9741954,2457140.379979,1.584,k2
EPIC 211990866,1.6739035,2457140.71941,1.6056,k2
EPIC 212006318,14.453895,2457147.3436,6.792,k2
EPIC 212006344,2.2193023,2457141.8300469,1.236,k2
EPIC 212008766,14.1330314,2457145.1112611,3.648,k2
EPIC 212069861,30.951524,2457147.49734,3.7608,k2
EPIC 212088059,10.367437,2457141.710348,2.08,k2
EPIC 212130773,18.718269,2457151.87653,6.888,k2
EPIC 212132195,26.201446,2457164.390197,3.33,k2
EPIC 212154564,6.413651,2457142.18106,1.68,k2
EPIC 212157262,7.149584,2457203.52085,2.8392,k2
EPIC 212161956,7.187257,2457140.699277,2.57,k2
EPIC 212164470,7.810253,2457144.85447,3.5808,k2
EPIC 212297394,5.213965,2457222.478879,2.62,k2
EPIC 212357477,6.326768,2457303.4771,1.9656,k2
EPIC 212394689,6.67932,2457223.4182,2.7096,k2
EPIC 212418133,3.334966,2457219.82294,3.936,k2
EPIC 212420823,9.032178,2457219.127431,3.25,k2
EPIC 212440430,19.991944,2457228.164968,4.94,k2
EPIC 212460519,7.385655,2457223.79921,2.5872,k2
EPIC 212480208,10.098858,2457224.76792,4.224,k2
EPIC 212496592,2.858646,2457219.55703,2.232,k2
EPIC 212521166,13.86375,2457275.32992,3.22,k2
EPIC 212543933,7.806164,2457223.495191,2.78,k2
EPIC 212554013,3.588163,2457223.92588,2.3208,k2
EPIC 212555594,4.162817,2457220.444,1.6176,k2
EPIC 212575828,2.060438,2457217.8493,1.4904,k2
EPIC 212580872,14.786889,2457224.26116,4.32,k2
EPIC 212587672,23.228555,2457237.042492,3.25,k2
EPIC 212672300,39.721386,2457243.00697,8.52,k2
EPIC 212689874,15.852975,2457225.04563,4.8408,k2
EPIC 212735333,8.357881,2457218.18248,3.4704,k2
EPIC 212737443,13.603,2457234.97,2.976,k2
EPIC 212782836,7.122605,2457222.13278,3.072,k2
EPIC 212803289,18.24783,2458182.7133,11.1,k2
EPIC 212828909,2.849883,2457218.56088,1.3416,k2
EPIC 212012119,3.2809626,2457142.1339592,1.9296,k2
EPIC 212012119,8.4388385,2457142.4867161,2.34,k2
EPIC 212768333,3.3596055,2457215.032,1.42008,k2
EPIC 212768333,7.4500177,2457213.5759,3.0024,k2
EPIC 212768333,17.0428683,2457204.5687,2.9592,k2
EPIC 212779596,3.2253993,2457218.73733,2.017,k2
EPIC 212779596,7.3744897,2457222.93034,2.452,k2
EPIC 210512842,5.868699,2457067.14113,2.824999999992,k2
EPIC 211048999,5.172191,2457066.5803,1.7664,k2
EPIC 212530118,12.832235,2457230.1429,3.408,k2
EPIC 249801827,6.034,2457996.825,2.1528,k2
EPIC 249622103,7.06024,2457586.862,2.687,k2
EPIC 248545986,7.775,2457916.86,1.248,k2
EPIC 249622103,24.3681,2458005.5802,3.791,k2
EPIC 210897587,6.342,2457818.7153,2.4096,k2
EPIC 210818897,8.24958,2457064.2797,4.66,k2
EPIC 248435473,14.697,2457944.8393,3.408,k2
EPIC 245950175,8.26146,2457740.64558,2.97,k2
EPIC 247589423,17.30713,2457812.7177,3.449,k2
EPIC 246865365,3.38628,2457823.2233,3.09,k2
EPIC 210818897,12.4032,2457072.3913,5.59,k2
EPIC 245950175,12.75758,2457738.70235,3.2,k2
EPIC 246471491,14.76289,2457741.8969,2.3,k2
EPIC 246078672,2.50387,2457740.0093,2.6,k2
EPIC 228813918,0.179719,2457639.27571,0.6288,k2
EPIC 246199087,9.20754,2457671.3737299,1.048,k2
EPIC 246199087,6.101013,2457660.3676621,0.9293,k2
EPIC 247267267,4.795069,2457859.11316,2.147,k2
EPIC 249624646,9.21165,2457994.7725,4.96,k2
EPIC 246067459,3.20466,2457740.5036,3.331,k2
EPIC 210818897,24.1396,2457067.0488,6.42,k2
EPIC 210897587,13.85,2457994.66467,3.528,k2
EPIC 246851721,6.180235,2457865.11032,4.10808,k2
EPIC 248435473,7.814,2457946.651,2.256,k2
EPIC 247589423,25.575,2457780.8117,3.04,k2
EPIC 211311380,369.0,2457142.0194,13.007,k2
EPIC 246151543,13.1225,2457749.1347,3.98,k2
EPIC 212628254,16.9841,2458180.2842,3.66,k2
EPIC 249893012,15.624,2457998.841,6.37,k2
EPIC 246199087,18.772866,2457662.5741486,1.269,k2
EPIC 60021410,9.1004157,2458072.29291,2.431,k2
EPIC 249631677,3.1443189,2457990.862,0.821,k2
EPIC 212737443,65.55,2457227.79,4.608,k2
EPIC 246393474,0.2803244,2457744.0716,0.94,k2
EPIC 247098361,11.168454,2457825.34978227,5.03016,k2
