star_id,score_raw,p_highclass
TIC 1989628303,0.863311,0
TIC 155993822,0.754936,0
TIC 117322779,0.907652,0
KIC 3327992,0.742266,0
TIC 165414210,0.854516,0
KIC 2693092,0.803670,0
K2-259,0.704665,0
EPIC 218874453,0.842563,0
TIC 257067559,0.784805,0
KIC 10849244,0.831752,0
KIC 5284133,0.841416,0
KIC 11760959,0.673576,0
KIC 10581918,0.885253,0
TIC 28872266,0.652324,0
KIC 8479386,0.832183,0
TIC 283702603,0.625925,0
K2-194,0.901367,0
EPIC 204873331,0.883419,0
EPIC 211885185,0.627604,0
KIC 8019043,0.853246,0
TIC 78775584,0.726389,0
TIC 3680800,0.868712,0
EPIC 212622766,0.819651,0
TIC 20182780,0.868319,0
TIC 71083829,0.889197,0
EPIC 212586030,0.905701,0
KIC 12644769,0.806213,0
TIC 456335739,0.684123,0
TIC 149109125,0.694010,0
TIC 100263315,0.654390,0
K2-190,0.834892,0
TIC 298437387,0.907673,0
TIC 213875310,0.936461,0
EPIC 246356732,0.849636,0
KIC 8773948,0.783743,0
EPIC 218711655,0.901634,0
KIC 7385478,0.864551,0
KIC 9007918,0.858788,0
KIC 11235323,0.821452,0
TIC 229111835,0.878258,0
TIC 186599508,0.792257,0
EPIC 212585579,0.901763,0
EPIC 249401939,0.862781,0
K2-290,0.880465,0
TIC 43333094,0.651339,0
TIC 302453291,0.710852,0
EPIC 212691727,0.846068,0
EPIC 206032309,0.699698,0
KIC 6307062,0.812079,0
EPIC 205632508,0.880966,0
KIC 5263802,0.689395,0
KIC 7118545,0.801937,0
TIC 467690903,0.900858,0
KIC 8590780,0.768810,0
TIC 129756316,0.769028,0
TIC 9837861,0.861006,0
KIC 4445630,0.783681,0
EPIC 212454160,0.868214,0
KIC 10480952,0.822852,0
EPIC 212830737,0.874368,0
EPIC 250099723,0.887085,0
TIC 104153474,0.923529,0
TIC 101225566,0.738173,0
EPIC 205489894,0.917170,0
TIC 89702406,0.619821,0
KIC 8953426,0.830533,0
TIC 372817671,0.675862,0
TIC 201154493,0.856811,0
TIC 197642926,0.641949,0
TIC 82010657,0.640113,0
KIC 9569866,0.842837,0
EPIC 205064326,0.885687,0
KIC 9665503,0.768212,0
K2-368,0.795247,0
TIC 277039287,0.628506,0
KIC 11285625,0.874600,0
KIC 5653849,0.668653,0
KIC 9818732,0.775615,0
TIC 151728428,0.849573,0
TIC 353225230,0.876784,0
EPIC 212443457,0.864494,0
EPIC 211607670,0.649011,0
TIC 78290597,0.708017,0
TIC 307915084,0.846590,0
TIC 258983679,0.839796,0
TIC 355138852,0.854872,0
TIC 381448973,0.896329,0
TIC 258738570,0.836871,0
TIC 165413340,0.786795,0
KIC 4076952,0.751932,0
K2-411,0.869536,0
TIC 390151888,0.827200,0
TIC 90919952,0.830720,0
KIC 11071207,0.770635,0
TIC 16776356,0.796753,0
TIC 3896759,0.832559,0
KIC 10215422,0.780133,0
TIC 32046665,0.652656,0
KIC 9777062,0.753094,0
KIC 5288543,0.835431,0
TIC 437756191,0.835932,0
KIC 9948002,0.744144,0
KIC 10296163,0.766070,0
TIC 284592989,0.870652,0
TIC 39464158,0.715721,0
EPIC 205470347,0.852153,0
KIC 6525280,0.619155,0
EPIC 212370106,0.827071,0
TIC 396723723,0.819542,0
TIC 111991770,0.835397,0
EPIC 206543223,0.831755,0
TIC 187029841,0.750003,0
KIC 8845221,0.713383,0
KIC 12217907,0.768342,0
KIC 5731312,0.767010,0
KIC 6964043,0.684449,0
EPIC 202086291,0.600615,0
KIC 9837578,0.735179,0
EPIC 229133720,0.721021,0
TIC 16550540,0.632227,0
EPIC 218170789,0.858139,0
EPIC 205570849,0.850914,0
K2-128,0.828475,0
EPIC 204990932,0.857761,0
KIC 5534965,0.705895,0
HIP 4601,0.615203,0
TIC 284300833,0.892701,0
TIC 269372232,0.819951,0
TIC 69436501,0.876816,0
KIC 2449101,0.639454,0
K2-273,0.672337,0
KIC 11811454,0.827539,0
K2-278,0.889798,0
TIC 20892672,0.753930,0
EPIC 205170731,0.868247,0
K2-193,0.849007,0
TIC 365021641,0.846869,0
TIC 248769312,0.843856,0
EPIC 216334329,0.851896,0
TIC 446166017,0.855319,0
EPIC 203925865,0.824919,0
TIC 59369068,0.833919,0
KIC 9913481,0.831069,0
KIC 5193386,0.802129,0
K2-126,0.828241,0
KIC 11499757,0.749660,0
TIC 427332229,0.774070,0
TIC 32283946,0.672888,0
EPIC 220605820,0.832151,0
KIC 3323289,0.775452,0
TIC 344416349,0.684621,0
EPIC 211812160,0.685857,0
TIC 2876,0.854284,0
TIC 329821992,0.804548,0
TIC 423666115,0.663301,0
EPIC 212525174,0.862567,0
KIC 8301013,0.723908,0
TIC 251743761,0.919401,0
EPIC 212525618,0.851120,0
TIC 272994016,0.837375,0
TIC 139314045,0.600231,0
KIC 6947164,0.721680,0
TIC 302477411,0.916880,0
EPIC 205145448,0.839525,0
TIC 90935909,0.751165,0
KIC 2306740,0.670466,0
KIC 6594972,0.782438,0
TIC 124895104,0.798931,0
EPIC 249901311,0.793310,0
TIC 423670610,0.679926,0
TIC 101592219,0.736483,0
KIC 10936427,0.748231,0
EPIC 218901589,0.805534,0
KIC 7257373,0.793032,0
K2-231,0.821456,0
KIC 6426592,0.720440,0
TIC 407958640,0.865082,0
K2-377,0.831829,0
EPIC 249703125,0.847646,0
TIC 147456499,0.665706,0
TIC 151760597,0.846933,0
TIC 17361,0.805550,0
K2-189,0.864312,0
KIC 4661634,0.720005,0
TIC 357347296,0.834879,0
EPIC 211808055,0.635575,0
EPIC 212652418,0.834287,0
EPIC 215717520,0.868458,0
EPIC 212646483,0.810350,0
KIC 5217733,0.786268,0
EPIC 218332621,0.845232,0
TIC 291668351,0.676016,0
TIC 264159776,0.777750,0
TIC 363417404,0.648065,0
TIC 23961340,0.825671,0
KIC 8608490,0.756663,0
EPIC 211619805,0.826559,0
KIC 7199774,0.873146,0
TIC 900240532,0.665856,0
TIC 399195246,0.623517,0
K2-125,0.847249,0
TIC 8416274,0.800853,0
TIC 237700098,0.645032,0
KIC 8429450,0.684938,0
TIC 242674266,0.759840,0
EPIC 247562358,0.765935,0
KIC 8302455,0.805693,0
TIC 250330564,0.804078,0
K2-280,0.752500,0
KIC 6766748,0.719590,0
TIC 155986102,0.862123,0
EPIC 212435047,0.811812,0
KIC 8081389,0.789929,0
KIC 5036966,0.736227,0
EPIC 212396050,0.791462,0
EPIC 206414361,0.818753,0
TIC 415377888,0.613272,0
TIC 91576611,0.854869,0
TIC 376209245,0.820381,0
KIC 5738698,0.713535,0
EPIC 202963882,0.828965,0
TIC 205044976,0.833810,0
TIC 264460005,0.841811,0
EPIC 212048046,0.828561,0
TIC 37718056,0.652395,0
TIC 365509373,0.699258,0
TIC 31605271,0.642566,0
EPIC 212797028,0.806439,0
TIC 407997410,0.853429,0
TIC 37150278,0.832068,0
TIC 345205395,0.791140,0
KIC 12306808,0.723994,0
TIC 192321638,0.883802,0
TIC 296670796,0.814146,0
KIC 4380283,0.681767,0
KIC 5622250,0.728625,0
KIC 9635529,0.691334,0
TIC 209320688,0.788561,0
TIC 230982415,0.850458,0
EPIC 210789323,0.766973,0
TIC 95574586,0.847878,0
EPIC 203485624,0.820216,0
EPIC 201352100,0.820909,0
EPIC 205483055,0.846171,0
TIC 80478272,0.749207,0
KIC 9172506,0.730396,0
TIC 452867348,0.858977,0
TIC 305512837,0.811000,0
TIC 8260536,0.757842,0
KIC 9970396,0.611458,0
KIC 5700330,0.759686,0
KIC 10026136,0.724332,0
KIC 4144236,0.754654,0
TIC 26433869,0.766958,0
EPIC 212310244,0.852660,0
TIC 129432342,0.817186,0
TIC 401283491,0.805503,0
EPIC 216357880,0.759248,0
TIC 857186,0.747731,0
TIC 347944406,0.845598,0
TIC 388909695,0.717345,0
KIC 11409698,0.716431,0
KIC 3442054,0.682947,0
TIC 9701368,0.846196,0
TIC 26051436,0.720197,0
TIC 145368316,0.825449,0
EPIC 220356827,0.752838,0
EPIC 206532093,0.766975,0
TIC 306401382,0.810453,0
EPIC 201649426,0.751236,0
TIC 48253329,0.823340,0
TIC 308504559,0.859351,0
EPIC 213408445,0.818097,0
EPIC 205944181,0.686547,0
TIC 253990973,0.812505,0
TIC 373894336,0.598087,0
TIC 22740615,0.764979,0
TIC 257531677,0.819932,0
EPIC 212685467,0.807553,0
KIC 6543674,0.640566,0
KIC 8610483,0.719092,0
TIC 274137295,0.784641,0
KIC 9941662,0.589079,0
TIC 6764171,0.606207,0
KIC 7630658,0.662322,0
TIC 254174907,0.749561,0
TIC 408506314,0.722950,0
KIC 8973000,0.730403,0
TIC 81247877,0.790679,0
KIC 4826439,0.637429,0
TIC 39143128,0.727059,0
TIC 456971986,0.671255,0
