epic_id,mission,n_points,n_segments,best_seg_score,mean_seg_score,median_seg_score,std_seg_score,status,error
228732031,K2,1845,4,0.313005656003952,0.2816653847694397,0.2850248217582702,0.0290908887982368,ok,
228754001,K2,1997,4,0.2237929105758667,0.2016614973545074,0.2043757736682891,0.0194540936499834,ok,
218916923,K2,3432,10,0.407845675945282,0.3232370018959045,0.323902428150177,0.0491815097630023,ok,
228735255,K2,2111,5,0.2558821737766266,0.2276026904582977,0.215820163488388,0.0195635426789522,ok,
213715787,K2,3405,10,0.412058562040329,0.3193789422512054,0.319605141878128,0.0639753937721252,ok,
220194974,K2,3479,10,0.3709825575351715,0.342579036951065,0.3453121185302734,0.0198668222874403,ok,
220598331,K2,3488,10,0.3963336944580078,0.3225782513618469,0.3369285762310028,0.0513189695775508,ok,
201128338,K2,2448,6,0.2984890043735504,0.2450355291366577,0.2501550316810608,0.0468083173036575,ok,
201598502,K2,2010,4,0.2843539118766784,0.2762370705604553,0.2807369828224182,0.0102935340255498,ok,
228934525,K2,1919,4,0.2886706292629242,0.2786401808261871,0.2819336950778961,0.0099849384278059,ok,
219800881,K2,3432,10,0.3452552258968353,0.2624688148498535,0.2843962907791137,0.0709035173058509,ok,
201092629,K2,1872,4,0.3711719512939453,0.3428913354873657,0.3410751521587372,0.0201687030494213,ok,
201102594,K2,1904,4,0.354864627122879,0.2655181586742401,0.25598806142807,0.0596797876060009,ok,
201166680,K2,1962,4,0.2595915496349334,0.2461591809988021,0.2489191442728042,0.0135122667998075,ok,
201357643,K2,1930,4,0.3307369947433471,0.2739579081535339,0.2756365239620209,0.0444809347391128,ok,
201386739,K2,2109,5,0.3067653477191925,0.2651037275791168,0.2648330628871918,0.0263325348496437,ok,
228725791,K2,2276,5,0.2870548963546753,0.270959198474884,0.2685010433197021,0.0084254816174507,ok,
228739306,K2,1993,4,0.2452650517225265,0.2218604683876037,0.2165488600730896,0.0143088148906826,ok,
228748383,K2,2123,5,0.3224289715290069,0.2834003269672394,0.2702851295471191,0.0328700877726078,ok,
228748826,K2,1943,4,0.2279904633760452,0.1977405697107315,0.1995187252759933,0.0287181418389081,ok,
228758778,K2,2185,5,0.406644731760025,0.2638429403305053,0.2380109876394271,0.0932508111000061,ok,
228763938,K2,2396,6,0.2595402896404266,0.1738624423742294,0.1625666320323944,0.0458652079105377,ok,
228809550,K2,2143,5,0.2539209425449371,0.1411315202713012,0.1278046667575836,0.0773574635386467,ok,
228849382,K2,1879,4,0.2925711572170257,0.2653566002845764,0.2779223024845123,0.03225589543581,ok,
228894622,K2,2504,6,0.319234549999237,0.2981874644756317,0.2971763610839844,0.0151998130604624,ok,
228974324,K2,2077,5,0.3334780931472778,0.3138634264469147,0.3299952447414398,0.0214261505752801,ok,
229017395,K2,1924,4,0.2132095247507095,0.2046884596347808,0.2071781605482101,0.0085865119472146,ok,
210693462,K2,3274,9,0.3410699665546417,0.3274737894535064,0.3306652903556824,0.0107708377763628,ok,
205071984,K2,2439,6,0.2822164595127105,0.2519732415676117,0.2633340358734131,0.0298782084137201,ok,
201238110,K2,3538,10,0.286228209733963,0.2647473216056824,0.2620995640754699,0.0110567957162857,ok,
201833600,K2,3546,10,0.3279905319213867,0.3147651851177215,0.3173395991325378,0.0108683677390217,ok,
201841433,K2,3532,10,0.2870117425918579,0.2716277539730072,0.2781406342983246,0.0125713152810931,ok,
205950854,K2,3107,9,0.321347713470459,0.2047091275453567,0.2359195053577423,0.0833909511566162,ok,
206024342,K2,3156,9,0.39139124751091,0.254814088344574,0.3162282705307007,0.1479189693927765,ok,
206042996,K2,3185,9,0.3451326489448547,0.2812352776527405,0.2763216495513916,0.0327497161924839,ok,
206215704,K2,3176,9,0.2830700576305389,0.2684612274169922,0.2705392837524414,0.0098102539777755,ok,
206317286,K2,3150,9,0.3327186405658722,0.2731452286243438,0.2819212973117828,0.0423280522227287,ok,
212297394,K2,3529,10,0.2874511480331421,0.2589090764522552,0.2623488903045654,0.0161054767668247,ok,
212424622,K2,3535,10,0.3042629063129425,0.2779227793216705,0.2766259908676147,0.0111170643940567,ok,
212587672,K2,3529,10,0.3146179914474487,0.2675221264362335,0.2642224431037903,0.0273134745657444,ok,
201205469,K2,3548,10,0.3591451048851013,0.3021122813224792,0.3109243810176849,0.0385676696896553,ok,
201295312,K2,3510,10,0.3307679891586303,0.2680031657218933,0.2719675302505493,0.0351942665874958,ok,
201403446,K2,3547,10,0.2950771450996399,0.2815657556056976,0.2804260551929474,0.0078482339158654,ok,
201546283,K2,3499,10,0.2706821262836456,0.2413689196109771,0.2436048686504364,0.0161671955138444,ok,
201549860,K2,3532,10,0.3468559682369232,0.3190222382545471,0.3231252431869507,0.0227284729480743,ok,
202126849,K2,1624,3,0.2609883546829223,0.2437025308609008,0.2360007911920547,0.0122470650821924,ok,
201155177,K2,3531,10,0.3023315966129303,0.2772521376609802,0.2826250195503235,0.0199690461158752,ok,
