epic_id,period_role,period_days,center_phase,event_index,predicted_center_bkjd,event_points,sideband_points,left_sideband_points,right_sideband_points,both_sidebands_available,local_depth,local_depth_snr,sideband_sigma,baseline_slope_per_day,left_right_baseline_offset
EPIC_211839462,half_period,2.609685,0.2379674739418985,20,2359.776260147234,4,10,10,0,False,0.00012626833845941145,2.3049914557965567,5.478039328166436e-05,-0.006724657283165154,
EPIC_211839462,half_period,2.609685,0.2379674739418985,22,2364.995630147234,6,13,12,1,False,-0.008075882199335221,-3.1052918912937555,0.0026006837624435275,-0.02766078542267898,
EPIC_211839462,half_period,2.609685,0.2379674739418985,24,2370.215000147234,5,13,13,0,False,-4.665671280855606e-05,-0.7552651992252795,6.177527159521534e-05,-0.002749691346811567,
EPIC_211839462,half_period,2.609685,0.2379674739418985,25,2372.824685147234,3,13,13,0,False,0.00016166210403790798,1.5591558251639757,0.00010368566209275846,-0.007177335969932448,
EPIC_211839462,half_period,2.609685,0.2379674739418985,26,2375.434370147234,5,15,13,2,False,-0.010458053572027379,-3.8111339929980446,0.0027440792140190555,-0.02596786125907148,
EPIC_211839462,half_period,2.609685,0.2379674739418985,27,2378.044055147234,3,12,12,0,False,0.00019890207609473591,1.5564503254045483,0.0001277921131488972,-0.007542753440826758,
EPIC_211839462,half_period,2.609685,0.2379674739418985,28,2380.6537401472337,8,16,14,2,False,-0.010930538988359415,-2.9857479189788725,0.003660904833552615,-0.029430255532325852,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,0,2311.2211370238956,6,13,0,13,False,0.00035084782199489386,4.632461153972496,7.57368082178152e-05,0.00624007651163896,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,1,2316.440507023896,7,10,0,10,False,0.0005987162434494338,8.403309219761221,7.124767490900999e-05,0.004060665977397775,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,2,2321.6598770238957,8,12,0,12,False,0.0003663860335265561,8.908146659204466,4.1129322129871164e-05,0.0034780874475606087,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,3,2326.879247023896,6,13,0,13,False,0.0004954566517033009,8.01635180260457,6.180575203078332e-05,0.0028044884818381926,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,4,2332.0986170238957,4,13,0,13,False,0.0003794018046549138,5.513651899952198,6.881134528246208e-05,0.0017619237340166345,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,5,2337.317987023896,8,11,0,11,False,0.0003664645848526107,3.2362785853394853,0.00011323641497141651,0.003074003157342788,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,6,2342.5373570238958,8,15,0,15,False,0.0007233502704444444,5.657801458261681,0.0001278500625694788,0.003019616784854045,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,7,2347.7567270238956,7,13,0,13,False,0.0006301362748455607,7.185016966598448,8.770143171198129e-05,0.004051684226412874,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,8,2352.976097023896,6,14,0,14,False,0.0008086701753515389,10.512921023987872,7.692154953950046e-05,0.004552229771402793,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,9,2358.1954670238956,7,14,0,14,False,0.00022867699678075443,2.058762235247073,0.00011107499101435128,0.005392404351882815,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,10,2363.414837023896,4,13,0,13,False,-7.5559942719694625e-06,-0.07916518241052266,9.544592764009242e-05,0.003467761378313598,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,11,2368.6342070238957,6,11,0,11,False,0.00013461190778003254,1.99007232304056,6.764171644493998e-05,0.0030582073695318837,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,12,2373.853577023896,3,13,1,12,False,-0.010797523237815874,-2.5051329838121874,0.0043101597031327005,0.03718500220961632,
EPIC_211839462,saved_period,5.21937,0.8161132519625844,13,2379.0729470238957,3,13,0,13,False,0.0005856678120294719,9.348194066921826,6.265036945497652e-05,0.002055007593026854,
EPIC_211839462,double_period,10.43874,0.9098728906197249,0,2316.459466538228,8,10,0,10,False,0.0006113790556104688,18.08141916573309,3.381255918059356e-05,0.00390900141950099,
EPIC_211839462,double_period,10.43874,0.9098728906197249,1,2326.898206538228,7,13,0,13,False,0.0006203133666337229,9.856952513171732,6.293155676714535e-05,0.002355005079976457,
EPIC_211839462,double_period,10.43874,0.9098728906197249,2,2337.3369465382275,9,11,0,11,False,0.0003557575329753834,4.241530193222959,8.387480856409e-05,0.002993229382606597,
EPIC_211839462,double_period,10.43874,0.9098728906197249,3,2347.7756865382275,7,14,0,14,False,0.000627830130834048,7.99092310977613,7.856791039147379e-05,0.004059668182171902,
EPIC_211839462,double_period,10.43874,0.9098728906197249,4,2358.2144265382276,6,14,0,14,False,0.00026618665012966523,2.0706208834838793,0.00012855402563205994,0.0052158693477249015,
EPIC_211839462,double_period,10.43874,0.9098728906197249,5,2368.6531665382277,7,11,0,11,False,8.071240339974388e-05,1.0948319085049534,7.372127426388277e-05,0.003123204852524796,
EPIC_211839462,double_period,10.43874,0.9098728906197249,6,2379.0919065382277,4,13,0,13,False,0.000575015181584514,9.178161064121728,6.265036945497732e-05,0.002055007593026852,
