"epic_id","promote_tier","n_events_long_good","n_events_ge_10_cadences","max_shape_score","spike_fraction_2cadence","depth_ratio","stage_r_reason","events_csv","events_csv_available","n_events_raw","n_events_after_filters","best_period_days","period_support_count","event_family_count","folded_depth_consistency","duration_consistency","odd_even_depth_delta","period_search_reason","cluster_center_phase","n_predicted","n_covered","coverage_rate","hit_rate_snr","hit_rate_shape","soft_hit_rate","cache_hits","cache_misses","downloads_done","validations_run","stage_d_label","stage_d_reason"
"EPIC_211910082","Tier_A","8","12","0.8745708324168595","0.1578947368421052","30.683332171095635","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.158","plots\k2_batch\epics\EPIC_211910082\events.csv","True","19","19","19.798300977400004","8","4","0.88281364599107","0.9791666666666667","0.38065822165541774","validated","0.6525545245530305","3","3","1.0","1.0","0.6666666666666666","1.0","1","0","0","3","pass_deeper_eval","period_support_count=8; depth_consistency=0.883; duration_consistency=0.979; validated cache-light-curve support"
"EPIC_212001099","Tier_A","8","19","0.8263117277737821","0.1071428571428571","13.907826780338732","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.107","plots\k2_batch\epics\EPIC_212001099\events.csv","True","28","28","16.325087564604473","13","5","0.9872136877524216","0.75","0.05804715218023408","validated","0.8343166464806598","5","5","1.0","0.4","0.2","0.4","1","0","0","3","pass_deeper_eval","period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211926132","Tier_A","8","16","0.8209315443933785","0.0416666666666666","25.75734719789685","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042","plots\k2_batch\epics\EPIC_211926132\events.csv","True","24","24","16.723298121680273","14","6","0.9048062860875516","0.7692307692307692","0.07133085442295696","validated","0.14933768686246895","5","5","1.0","0.8","0.4","0.8","1","0","0","3","pass_deeper_eval","period_support_count=14; depth_consistency=0.905; duration_consistency=0.769; validated cache-light-curve support"
"EPIC_211947686","Tier_A","8","12","0.8156596223735075","0.2","33.84677418529661","promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200","plots\k2_batch\epics\EPIC_211947686\events.csv","True","20","20","11.881061730008014","8","5","0.8952162896177489","0.8695652173913044","0.5574735015018112","validated","0.12288742151316871","6","6","1.0","0.8333333333333334","0.3333333333333333","0.8333333333333334","1","0","0","3","pass_deeper_eval","period_support_count=8; depth_consistency=0.895; duration_consistency=0.870; validated cache-light-curve support"
"EPIC_211739276","Tier_A","7","12","0.8202554876373518","0.3783783783783784","22.424712353007585","promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.378","plots\k2_batch\epics\EPIC_211739276\events.csv","True","37","37","19.164904292916617","15","6","0.8011001742617926","0.6666666666666666","0.48917830411626534","validated","0.27974132596661005","3","3","1.0","0.6666666666666666","0.3333333333333333","0.6666666666666666","1","0","0","3","pass_deeper_eval","period_support_count=15; depth_consistency=0.801; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211525754","Tier_A","7","14","0.8065152288077873","0.217391304347826","9.37481331028957","promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217","plots\k2_batch\epics\EPIC_211525754\events.csv","True","23","23","13.198848621046864","14","6","0.9184157767190645","0.9583333333333334","0.1776629394856127","validated","0.9339929562413662","5","5","1.0","0.8","0.4","0.8","1","0","0","3","pass_deeper_eval","period_support_count=14; depth_consistency=0.918; duration_consistency=0.958; validated cache-light-curve support"
"EPIC_212003686","Tier_A","6","18","0.8425087591919436","0.0416666666666666","9.6521233653017","promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042","plots\k2_batch\epics\EPIC_212003686\events.csv","True","24","24","12.44296006046352","18","8","0.6857651227953394","0.8958333333333334","0.5786311010728846","validated","0.9447158803351643","6","6","1.0","1.0","0.6666666666666666","1.0","1","0","0","3","pass_deeper_eval","period_support_count=18; depth_consistency=0.686; duration_consistency=0.896; validated cache-light-curve support"
"EPIC_211396246","Tier_A","6","15","0.8013982456171866","0.2083333333333333","21.73483396404102","promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.208","plots\k2_batch\epics\EPIC_211396246\events.csv","True","24","24","5.0670921209678","8","6","0.8319569702913201","0.9523809523809523","0.05672542793991518","validated","0.9107876341557409","15","15","1.0","0.6666666666666666","0.2","0.6666666666666666","1","0","0","3","pass_deeper_eval","period_support_count=8; depth_consistency=0.832; duration_consistency=0.952; validated cache-light-curve support"
"EPIC_211748059","Tier_A","5","17","0.8169694594065053","0.1666666666666666","9.142281919119538","promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.167","plots\k2_batch\epics\EPIC_211748059\events.csv","True","30","30","17.42822978276672","14","6","0.893396425832578","0.8095238095238095","0.18332551144272352","validated","0.04197248619247339","4","4","1.0","0.5","0.25","0.5","1","0","0","3","pass_deeper_eval","period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support"
"EPIC_211552564","Tier_A","5","14","0.8044802540322845","0.2592592592592592","25.17457858889244","promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.259","plots\k2_batch\epics\EPIC_211552564\events.csv","True","27","27","18.53167560711927","12","4","0.6805579546258204","0.793103448275862","0.640682887058847","validated","0.9387715253220871","4","4","1.0","0.75","0.5","0.75","1","0","0","3","pass_deeper_eval","period_support_count=12; depth_consistency=0.681; duration_consistency=0.793; validated cache-light-curve support"
"EPIC_211732801","Tier_A","4","11","0.8527919232816045","0.2666666666666666","39.29971634484868","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267","plots\k2_batch\epics\EPIC_211732801\events.csv","True","30","30","8.499644226245664","15","7","0.6824698421846229","0.6666666666666666","0.15842647174953803","validated","0.13934735369635984","9","8","0.8888888888888888","1.0","0.5","1.0","1","0","0","3","pass_deeper_eval","period_support_count=15; depth_consistency=0.682; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211555255","Tier_A","4","23","0.833757393976066","0.0789473684210526","19.87980101116924","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.079","plots\k2_batch\epics\EPIC_211555255\events.csv","True","38","38","9.929781530910986","20","7","0.8711994527517155","0.5555555555555556","0.16774929741009967","validated","0.34923359898064293","8","8","1.0","0.625","0.25","0.625","1","0","0","3","pass_deeper_eval","period_support_count=20; depth_consistency=0.871; duration_consistency=0.556; validated cache-light-curve support"
"EPIC_211972200","Tier_A","4","19","0.8331570239017195","0.04","13.945690757095244","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.040","plots\k2_batch\epics\EPIC_211972200\events.csv","True","25","25","18.91986675386579","19","4","0.9698031883868607","1.0","0.22616306573564363","validated","0.16283653034830958","4","4","1.0","0.75","0.5","0.75","1","0","0","3","pass_deeper_eval","period_support_count=19; depth_consistency=0.970; duration_consistency=1.000; validated cache-light-curve support"
"EPIC_211833851","Tier_A","4","11","0.7992319016769379","0.1851851851851851","22.82286307550474","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.185","plots\k2_batch\epics\EPIC_211833851\events.csv","True","27","27","18.613234525993676","9","6","0.8429666489919493","0.75","0.11370148865029961","validated","0.16994783774634345","4","4","1.0","0.5","0.25","0.5","1","0","0","3","pass_deeper_eval","period_support_count=9; depth_consistency=0.843; duration_consistency=0.750; validated cache-light-curve support"
"EPIC_211554121","Tier_A","4","13","0.7901124721058373","0.25","12.841198712687312","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250","plots\k2_batch\epics\EPIC_211554121\events.csv","True","32","32","14.057024791287404","15","6","0.8604473744226185","0.6666666666666666","0.48899957144867456","validated","0.4773783587839234","5","5","1.0","0.6","0.6","0.6","1","0","0","3","pass_deeper_eval","period_support_count=15; depth_consistency=0.860; duration_consistency=0.667; validated cache-light-curve support"
"EPIC_211988531","Tier_A","4","10","0.7812440376860006","0.2272727272727272","30.9298795450156","promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.227","plots\k2_batch\epics\EPIC_211988531\events.csv","True","22","22","14.496263978912111","13","5","0.7404849623190014","0.9583333333333334","0.1847461582127066","validated","0.65772061454775","5","5","1.0","1.0","0.6","1.0","1","0","0","3","pass_deeper_eval","period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support"
