target_id,mission,num_segments,star_score
K2-380,TESS,509,0.9265058636665344
EPIC 204197636,TESS,193,0.9258699417114258
KIC 7987086,Kepler,202,0.9249496459960938
EPIC 212329106,TESS,194,0.924437403678894
EPIC 246356732,TESS,500,0.9226895570755005
K2-72,TESS,280,0.9223291277885437
TIC 279851358,TESS,647,0.9222386479377747
TIC 264460005,TESS,403,0.921949028968811
TIC 253788533,TESS,731,0.9219417572021484
TIC 274137295,TESS,668,0.921833336353302
EPIC 212830737,TESS,289,0.9213470220565796
TIC 321069529,TESS,504,0.9211093783378601
TIC 257531677,TESS,87,0.9205213785171509
EPIC 211920811,TESS,664,0.9189440608024597
EPIC 204873331,TESS,438,0.9188281893730164
TIC 415875608,TESS,721,0.9169011116027832
TIC 129432342,TESS,637,0.9162195920944214
TIC 405269313,TESS,330,0.9158749580383301
TIC 49617263,TESS,175,0.9152828454971313
TIC 360822008,TESS,607,0.9148452877998352
K2-196,TESS,671,0.9137910008430481
TIC 428685938,TESS,798,0.9133249521255493
TIC 124895104,TESS,489,0.9122320413589478
KIC 9821078,Kepler,1074,0.9118505716323853
TIC 470898625,TESS,486,0.9113879203796387
EPIC 203518244,TESS,175,0.9111215472221375
KIC 7677005,Kepler,202,0.9098078012466431
EPIC 212346723,TESS,186,0.9096968770027161
TIC 318753380,TESS,453,0.9064095616340637
KIC 7117003,Kepler,275,0.9043323397636414
KIC 8560861,Kepler,999,0.904150664806366
TIC 857186,TESS,634,0.9035434722900391
EPIC 228836835,TESS,781,0.902966320514679
KIC 4736208,Kepler,275,0.9028832316398621
EPIC 211859295,TESS,515,0.9013954997062683
EPIC 212428509,TESS,187,0.9002582430839539
TIC 8853478,TESS,403,0.900046169757843
TIC 213875310,TESS,561,0.8997915387153625
TIC 192487723,TESS,725,0.8992025256156921
KIC 2693092,Kepler,202,0.8990639448165894
KIC 8314801,Kepler,275,0.8987940549850464
TIC 50575306,TESS,689,0.8986738324165344
EPIC 205570849,TESS,428,0.8979789018630981
EPIC 249236972,TESS,191,0.8975263833999634
EPIC 204128016,TESS,424,0.8972759246826172
EPIC 216334329,TESS,529,0.8963586688041687
TIC 376866659,TESS,1934,0.8944074511528015
TIC 397053253,TESS,156,0.8940830230712891
TIC 384244834,TESS,117,0.8940268754959106
KIC 11924426,Kepler,275,0.8928735852241516
TIC 161738745,TESS,340,0.8913095593452454
EPIC 212071939,TESS,398,0.8906279802322388
TIC 305512837,TESS,339,0.8904145956039429
EPIC 204763194,TESS,603,0.8903040885925293
EPIC 212443973,K2,2144,0.890005886554718
EPIC 215894766,TESS,515,0.8899801969528198
TIC 92449173,TESS,983,0.8898998498916626
TIC 355008856,TESS,234,0.8892792463302612
EPIC 219266595,TESS,526,0.8891007304191589
EPIC 206151047,TESS,633,0.8888057470321655
TIC 431899136,TESS,454,0.8885482549667358
KIC 11923819,Kepler,999,0.8866140246391296
KIC 10191056,Kepler,987,0.8865242004394531
TIC 152714791,TESS,655,0.8865146636962891
TIC 264159776,TESS,593,0.8864258527755737
TIC 5592720,TESS,589,0.8854774236679077
TIC 313835568,TESS,796,0.8849466443061829
KIC 6449358,Kepler,999,0.8849069476127625
EPIC 203616858,TESS,436,0.8842124938964844
TIC 141074654,TESS,326,0.88409024477005
TIC 268532343,TESS,169,0.8835237622261047
TIC 259708416,TESS,680,0.8833295106887817
TIC 274193763,TESS,65,0.8826078176498413
TIC 46020827,TESS,406,0.8816555142402649
TIC 267617257,TESS,666,0.8812708854675293
EPIC 201182911,TESS,367,0.8808853030204773
EPIC 206260577,TESS,635,0.8792179822921753
TIC 35377903,TESS,726,0.8783828616142273
K2-368,TESS,2492,0.8781353831291199
TIC 92590258,TESS,560,0.877776026725769
K2-350,TESS,422,0.8774115443229675
EPIC 202963882,TESS,462,0.8769110441207886
TIC 323250919,TESS,37,0.8764532804489136
EPIC 201619647,TESS,450,0.8764293789863586
HIP 41431,TESS,1006,0.876408576965332
EPIC 214234110,TESS,535,0.8762854337692261
TIC 90935909,TESS,779,0.8760536313056946
EPIC 249649721,TESS,188,0.8755571246147156
TIC 317849098,TESS,216,0.8753674626350403
KIC 10345862,Kepler,275,0.8751111030578613
K2-369,TESS,593,0.8747045397758484
TIC 110828766,TESS,258,0.8747028112411499
EPIC 212362217,TESS,259,0.8739285469055176
TIC 239159011,TESS,220,0.8734853863716125
EPIC 247281516,TESS,404,0.8727954030036926
KIC 8868907,Kepler,275,0.8726068735122681
EPIC 212315941,TESS,40,0.872069239616394
TIC 117892246,TESS,136,0.8717831373214722
KIC 9637299,Kepler,1074,0.8715015649795532
TIC 257467784,TESS,679,0.8712248802185059
TIC 401283491,TESS,647,0.8711261749267578
KIC 6307062,Kepler,275,0.8707507848739624
EPIC 206317286,TESS,594,0.8705660104751587
TIC 258738570,TESS,1114,0.8697789311408997
EPIC 212685467,TESS,185,0.8690087199211121
TIC 396723723,TESS,280,0.8684417009353638
KIC 10686876,Kepler,880,0.8683680295944214
TIC 701926762,TESS,645,0.8682020306587219
KIC 5005618,Kepler,202,0.8668895959854126
EPIC 215171927,TESS,534,0.8658452033996582
TIC 119178132,TESS,472,0.8656364679336548
TIC 268689126,TESS,587,0.8647716641426086
KIC 3327980,Kepler,275,0.8629956245422363
TIC 404467699,TESS,416,0.8624870181083679
KIC 4848423,Kepler,304,0.8624687194824219
KIC 10581918,Kepler,1097,0.8617507815361023
EPIC 201111557,TESS,645,0.8603706359863281
EPIC 228809391,TESS,648,0.8591818809509277
EPIC 215502661,TESS,512,0.8587468862533569
EPIC 212572439,TESS,185,0.8587315678596497
KIC 11769146,Kepler,275,0.8584454655647278
K2-316,TESS,432,0.8570899963378906
K2-240,TESS,1944,0.8567140698432922
TIC 323022088,TESS,529,0.8562883138656616
TIC 355138852,TESS,782,0.855970561504364
HIP 78977,TESS,425,0.854822039604187
KIC 10849244,Kepler,202,0.852709174156189
KIC 5284133,Kepler,202,0.8525563478469849
KIC 12021387,Kepler,202,0.852253258228302
TIC 18021087,TESS,177,0.8502839803695679
TIC 141202786,TESS,603,0.8502076864242554
KIC 7118545,Kepler,275,0.8498330116271973
EPIC 212443457,TESS,193,0.8495696187019348
TIC 59369068,TESS,253,0.8482138514518738
EPIC 206169157,TESS,602,0.8481791615486145
TIC 347944406,TESS,463,0.8481074571609497
TIC 284592989,TESS,605,0.8474307060241699
TIC 103865797,TESS,1280,0.8469036221504211
EPIC 211770390,TESS,395,0.8462130427360535
EPIC 205050711,TESS,434,0.8459274172782898
TIC 161568891,TESS,128,0.845596432685852
EPIC 206047055,TESS,604,0.8451979756355286
TIC 392995938,TESS,142,0.844765841960907
TIC 1989628303,TESS,476,0.8441717028617859
EPIC 246317113,TESS,491,0.8426110148429871
TIC 22740615,TESS,237,0.8416262865066528
EPIC 202126887,TESS,401,0.8394567370414734
TIC 411955845,TESS,615,0.8394109606742859
KIC 8507073,Kepler,275,0.83856600522995
TIC 192372961,TESS,656,0.8379152417182922
KIC 11235323,Kepler,202,0.8376943469047546
TIC 235448190,TESS,594,0.8375118374824524
TIC 1449756,TESS,185,0.8371996879577637
EPIC 212330265,TESS,185,0.8369646072387695
TIC 104866616,TESS,1859,0.8362434506416321
TIC 3896759,TESS,309,0.833175778388977
TIC 281100535,TESS,68,0.8329291343688965
TIC 425220920,TESS,279,0.8327182531356812
TIC 407997410,TESS,557,0.8322922587394714
TIC 89417257,TESS,578,0.8320355415344238
TIC 222485202,TESS,533,0.831839382648468
TIC 248769312,TESS,628,0.8317352533340454
EPIC 218170789,TESS,510,0.8309255838394165
TIC 252913663,TESS,631,0.8304810523986816
KIC 8668810,Kepler,332,0.8286944627761841
TIC 390151888,TESS,344,0.8282591700553894
EPIC 250106132,TESS,174,0.8273600339889526
KIC 10292238,Kepler,275,0.8266050219535828
EPIC 206031623,TESS,603,0.8258280754089355
TIC 808243,TESS,552,0.8252021670341492
TIC 437756191,TESS,529,0.8249409794807434
TIC 10837041,TESS,423,0.8248200416564941
EPIC 205969319,TESS,607,0.8247332572937012
TIC 69436501,TESS,287,0.8244439959526062
EPIC 246178445,TESS,428,0.8243937492370605
TIC 306338882,TESS,472,0.8241482973098755
KIC 8773948,Kepler,275,0.8236618041992188
KIC 9652632,Kepler,999,0.8236280679702759
KIC 3970117,Kepler,275,0.823186993598938
EPIC 212024647,TESS,1006,0.8228920102119446
EPIC 203925865,TESS,436,0.8227445483207703
EPIC 212283840,TESS,255,0.8226866722106934
TIC 237637903,TESS,596,0.8223901987075806
KIC 9007918,Kepler,880,0.8221613168716431
TIC 186989177,TESS,723,0.8216617703437805
TIC 400235555,TESS,370,0.8203689455986023
TIC 262457587,TESS,347,0.8199790716171265
EPIC 216166748,TESS,524,0.8190544843673706
KIC 10215422,Kepler,275,0.8187301754951477
TIC 313609787,TESS,443,0.8180797696113586
EPIC 247744801,TESS,543,0.8179218173027039
TIC 381448973,TESS,646,0.8176188468933105
K2-411,TESS,239,0.8175252676010132
KIC 5444392,Kepler,1881,0.8171523213386536
KIC 11285625,Kepler,1635,0.8170986175537109
EPIC 246448041,TESS,484,0.8170726895332336
TIC 272768631,TESS,594,0.8165265321731567
TIC 39143128,TESS,437,0.8157697916030884
TIC 52738649,TESS,588,0.8154438734054565
KIC 7385478,Kepler,1785,0.8142326474189758
TIC 237358490,TESS,83,0.8135530352592468
KIC 7436177,Kepler,169,0.8133448362350464
TIC 221656234,TESS,121,0.8130003809928894
KIC 3323289,Kepler,275,0.812921404838562
TIC 305790119,TESS,577,0.8115692138671875
KIC 6525209,Kepler,275,0.8114787936210632
TIC 406684949,TESS,201,0.8111577033996582
KIC 10228942,Kepler,202,0.8107577562332153
EPIC 212223307,TESS,966,0.8099409937858582
EPIC 206543223,TESS,588,0.8096240162849426
TIC 400466395,TESS,535,0.8089941143989563
TIC 179319057,TESS,530,0.8074299097061157
TIC 165413340,TESS,128,0.8062790632247925
EPIC 206192335,TESS,597,0.8056690096855164
EPIC 218901589,TESS,513,0.805416464805603
TIC 277329402,TESS,622,0.8043448328971863
KIC 9818732,Kepler,275,0.8030151128768921
EPIC 246120353,TESS,535,0.8029733896255493
TIC 162729620,TESS,523,0.8027397990226746
TIC 802227190,TESS,264,0.8015552759170532
TIC 307915084,TESS,441,0.8008926510810852
KIC 5288543,Kepler,1174,0.7998887896537781
KIC 10296163,Kepler,202,0.7996037602424622
TIC 73310180,TESS,336,0.7994229197502136
KIC 5731312,Kepler,275,0.7990854978561401
TIC 187029841,TESS,493,0.7990615963935852
TIC 306401382,TESS,821,0.798643171787262
TIC 470450936,TESS,479,0.7986282110214233
K2-280,TESS,523,0.7982077598571777
EPIC 210744674,TESS,371,0.7973063588142395
TIC 299176311,TESS,169,0.7971871495246887
TIC 138727432,TESS,428,0.7964884638786316
EPIC 219420915,TESS,530,0.7964826822280884
TIC 138762614,TESS,344,0.7960898280143738
EPIC 212622766,TESS,185,0.7960049510002136
KIC 6594972,Kepler,275,0.7954540252685547
EPIC 211432922,TESS,1022,0.7951363325119019
KIC 7622473,Kepler,266,0.7946144938468933
TIC 26433869,TESS,622,0.7944832444190979
TIC 78290597,TESS,514,0.7925810813903809
TIC 104195270,TESS,653,0.7920410633087158
KIC 7257373,Kepler,202,0.7913907766342163
EPIC 212535959,TESS,190,0.7909693121910095
K2-160,TESS,647,0.7906728386878967
TIC 23961340,TESS,725,0.7896319627761841
TIC 345205395,TESS,554,0.7891678810119629
KIC 9767392,Kepler,171,0.7874552011489868
K2-33,TESS,1967,0.7868095636367798
K2-64,TESS,596,0.7867482900619507
KIC 9569866,Kepler,1074,0.7848954200744629
TIC 129756316,TESS,519,0.783259391784668
TIC 159510109,TESS,1338,0.7831003069877625
EPIC 206417197,TESS,590,0.7826984524726868
EPIC 204888276,TESS,420,0.7823126316070557
TIC 101225566,TESS,149,0.7820518016815186
KIC 9665503,Kepler,275,0.7819923162460327
TIC 186599508,TESS,564,0.7810131311416626
EPIC 226042826,TESS,396,0.7809653878211975
TIC 80478272,TESS,810,0.7796528339385986
EPIC 212691727,TESS,331,0.7785102128982544
KIC 8098300,Kepler,202,0.7776429057121277
KIC 8868364,Kepler,275,0.7773725390434265
EPIC 211402878,TESS,412,0.7765156030654907
EPIC 205999468,TESS,605,0.7759323716163635
KIC 11499757,Kepler,213,0.7754629254341125
TIC 2876,TESS,502,0.7754260897636414
EPIC 206535016,TESS,590,0.775129497051239
KIC 9837578,Kepler,275,0.7749342322349548
TIC 347469901,TESS,615,0.774194598197937
TIC 79660831,TESS,596,0.7733515501022339
KIC 11446443,Kepler,2884,0.7731534242630005
KIC 9777062,Kepler,202,0.7719496488571167
TIC 40083958,TESS,423,0.7718720436096191
EPIC 212646483,TESS,185,0.7716766595840454
EPIC 218195416,TESS,511,0.7715882658958435
KIC 4737302,Kepler,999,0.7713397741317749
KIC 2987433,Kepler,275,0.7710455656051636
EPIC 246290342,K2,207,0.7703760266304016
EPIC 201456770,TESS,656,0.7700254917144775
TIC 329821992,TESS,218,0.7696734666824341
TIC 76706043,TESS,184,0.7695351839065552
KIC 4445630,Kepler,275,0.7666858434677124
EPIC 247562358,TESS,544,0.7666237950325012
KIC 5193386,Kepler,275,0.7665225267410278
TIC 258983679,TESS,359,0.7656140327453613
KIC 5036966,Kepler,169,0.7654687166213989
EPIC 205146011,TESS,172,0.765302836894989
TIC 374521355,TESS,272,0.7644569277763367
TIC 427332229,TESS,376,0.7632907629013062
KIC 5217733,Kepler,1100,0.7631349563598633
TIC 9837861,TESS,594,0.7624881267547607
TIC 437774844,TESS,756,0.7624154090881348
TIC 262470965,TESS,708,0.7593033313751221
TIC 306337838,TESS,170,0.7587718963623047
TIC 259381479,TESS,464,0.7585881948471069
