Manual 64 model disagreement / failure-mode report
generated_at=2026-06-01T20:10:43
source=manual_64_training_view.csv

columns=epic_id, manual_label, cnn_score, primary_depth_snr, odd_even_depth_ratio, oot_to_depth, candidate_period_count, alias_risk, fallback_period_flag, duration_fraction_of_period, failure_mode, autovet_v2_penalty

A. CNN high-confidence false positives
count=15
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_211800810 | binary_system | 0.681885 | 88.3513 | 0.219 |  | 0 |  | true | 0.105804 | eb_variable_false_positive | 0.06
EPIC_211980366 | variable_or_possible_eb | 0.932988 | 4.64515 | 0.988 | 0.468 | 4537 |  | true |  | eb_variable_false_positive | 0.2
EPIC_212009427 | variable_or_possible_eb | 0.854064 | 13.0927 | 0.975 |  | 3383 | moderate | true |  | eb_variable_false_positive | 0.06

G. Noise/artifact signatures
count=49
epic_id | manual_label | cnn_score | primary_depth_snr | odd_even_depth_ratio | oot_to_depth | candidate_period_count | alias_risk | fallback_period_flag | duration_fraction_of_period | failure_mode | autovet_v2_penalty
EPIC_200008924 | uncertain_hold | 0.66532 | 8.33886 |  |  | 1 |  | false |  | noise_artifact_signature | 0.18
EPIC_211356395 | uncertain_hold | 0.907269 | 10.4772 |  |  | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211418290 | uncertain_hold | 0.671846 | 72.6512 |  | 0.76 | 0 | low | true | 0.10101 | noise_artifact_signature | 0.06
EPIC_211429653 | noise_or_artifact | 0.837644 | 31.6352 | 0.247 |  | 0 | pass | true | 0.483235 | noise_artifact_signature | 0.24
EPIC_211432321 | noise_or_artifact | 0.747243 | 49.4158 |  |  | 0 | moderate | true | 0.342032 | noise_artifact_signature | 0.06
EPIC_211482556 | uncertain_hold | 0.70209 | 165.76 | 0.978 | 0.27 | 0 | low | true |  | noise_artifact_signature | 0.06
EPIC_211493634 | noise_or_artifact | 0.890358 | 786.546 | 0.789 |  | 0 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211512262 | uncertain_hold | 0.980781 | 21.0511 | 0.981 |  | 0 | low | true |  | noise_artifact_signature | 0.06
EPIC_211529191 | noise_or_artifact | 0.922508 | 24.6501 |  |  | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211536223 | noise_or_artifact | 0.804583 | 42.3788 | 0.797 | 0.51 | 0 | moderate | true | 0.213353 | noise_artifact_signature | 0.06
EPIC_211542908 | binary_system | 0.934167 | 18.8839 | 0.391 |  | 0 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211549072 | noise_or_artifact | 0.990776 | 86.2838 | 0.472 |  | 0 | review | true | 0.272569 | noise_artifact_signature | 0.06
EPIC_211569404 | noise_or_artifact | 0.779494 | 39.8191 | 0.7 |  | 0 | pass | true | 0.221528 | noise_artifact_signature | 0.06
EPIC_211573482 | binary_system | 0.823558 | 287.911 | 0.61 | 1.16 | 0 |  | true |  | noise_artifact_signature | 0.2
EPIC_211580521 | noise_or_artifact | 0.753615 | 17.1258 | 0.611 | 0.17 | 0 | high | true |  | noise_artifact_signature | 0.06
EPIC_211619120 | uncertain_hold | 0.724605 | 79.6217 | 0.835 | 2.03 | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211683904 | noise_or_artifact | 0.684117 | 84.6608 | 0.812 |  | 0 | moderate | true | 0.159505 | noise_artifact_signature | 0.06
EPIC_211702989 | noise_or_artifact | 0.94507 | 32.5314 | 0.4 |  | 0 | moderate | true |  | noise_artifact_signature | 0.06
EPIC_211730838 | binary_system | 0.989619 | 11.82 | 0.996 | 0.27 | 0 | low | true |  | noise_artifact_signature | 0.38
EPIC_211770390 | uncertain_hold | 0.935516 | 27.2591 | 0.562 | 1.26 | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211781094 | noise_or_artifact | 0.917082 | 16.7118 |  |  | 0 |  | true |  | noise_artifact_signature | 0.06
EPIC_211800810 | binary_system | 0.681885 | 88.3513 | 0.219 |  | 0 |  | true | 0.105804 | noise_artifact_signature | 0.06
