epic_id,training_label_v3,science_binary_v3,training_label_rule,final_candidate_status,review_bin,source_batch,best_period_days,stage_f_label,stage_h_label,visual_label,reviewer,reviewed_at,model_score,model_score_top3_mean,model_score_top10_mean,model_score_mean,model_score_median,flux_num_segments_x,best_segment_start,best_segment_end,best_segment_mid_time,best_segment_raw_score,target_science_like,binary_eval_included,rank_by_model_score,flux_p_science_like,flux_p_top3_mean,flux_p_top10_mean,flux_num_segments_y,flux_best_segment_start,flux_best_segment_end,flux_best_segment_mid_time,score_minus_existing_flux_p_science_like,abs_score_delta_vs_existing_flux,pred_at_clean_shortlist_threshold,pred_at_best_f1_threshold,correct_at_clean_shortlist_threshold,correct_at_best_f1_threshold,notes_reason
EPIC_211972200,binary_system,not_science_like,final_candidate_status:reject_as_planet_binary_system,reject_as_planet_binary_system,real_nonplanet_eclipsing_binary,stage_f_next10_batch1,18.91986675386579,stage_f_planet_like,,visual_reject_eclipsing_binary,OC,2026-04-30,0.6598517894744873,0.6193408767382304,0.5453507363796234,0.5147096973199111,0.5080666542053223,13,0,512,2311.830714746153,0.6598517894744873,0,True,22,0.6598517894744873,0.6193408767382304,0.5453507363796234,13,0,512,2311.830714746153,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_as_planet_binary_system; final_candidate_status=reject_as_planet_binary_system; review_bin=real_nonplanet_eclipsing_binary; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_planet_like; visual_label=visual_reject_eclipsing_binary
EPIC_211908778,candidate_like,science_like,final_candidate_status:promote_candidate_alias_check,promote_candidate_alias_check,promoted_keep_reviewing,stage_f_v3_recovery_batch1_manual_review,14.945896123012062,stage_f_hold,,visual_promote_candidate_odd_even_oot_caution,OC,2026-05-04,0.6561423540115356,0.6007428765296936,0.5184656500816345,0.4827887278336745,0.4848731458187103,13,768,1280,2327.5845975856973,0.6561423540115356,1,True,23,0.6561423540115356,0.6007428765296936,0.5184656500816345,13,768,1280,2327.5845975856973,0.0,0.0,False,True,incorrect,correct,training_label_rule=final_candidate_status:promote_candidate_alias_check; final_candidate_status=promote_candidate_alias_check; review_bin=promoted_keep_reviewing; source_batch=stage_f_v3_recovery_batch1_manual_review; stage_f_label=stage_f_hold; visual_label=visual_promote_candidate_odd_even_oot_caution
EPIC_211534076,candidate_like,science_like,final_candidate_status:recovered_known_unconfirmed_candidate,recovered_known_unconfirmed_candidate,recovered_positive_control,positive_controls,15.221580048255191,stage_f_planet_like,known_unconfirmed_candidate,,,,0.6541130542755127,0.575658897558848,0.49150389432907104,0.46399155029883754,0.4765700697898865,13,2816,3328,2369.4901159095134,0.6541130542755127,1,True,24,0.6541130542755127,0.575658897558848,0.491503894329071,13,2816,3328,2369.4901159095134,0.0,0.0,False,True,incorrect,correct,training_label_rule=final_candidate_status:recovered_known_unconfirmed_candidate; final_candidate_status=recovered_known_unconfirmed_candidate; review_bin=recovered_positive_control; source_batch=positive_controls; stage_f_label=stage_f_planet_like; stage_h_label=known_unconfirmed_candidate
EPIC_211520800,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,15.569002305841424,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30,0.6537245512008667,0.6296626528104147,0.5664997160434723,0.5396634546610025,0.5397711992263794,13,0,512,2311.8316576306315,0.6537245512008667,0,True,25,0.6537245512008667,0.6296626528104147,0.5664997160434723,13,0,512,2311.8316576306315,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:deprioritize_after_manual_visual_review; final_candidate_status=deprioritize_after_manual_visual_review; review_bin=deprioritized_after_manual_visual_review; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_reject; visual_label=visual_deprioritize_after_manual_review
EPIC_212003686,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,12.44296006046352,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30,0.6519076824188232,0.6353590488433838,0.6027553498744964,0.5880357164603013,0.5925863981246948,13,1280,1792,2338.0447035968464,0.6519076824188232,0,True,26,0.6519076824188232,0.6353590488433838,0.6027553498744964,13,1280,1792,2338.0447035968464,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_visual_review; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_planet_like; visual_label=visual_reject_after_manual_review
EPIC_211746706,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch2,17.959520721076842,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-04,0.6493770480155945,0.6341285904248556,0.5604406952857971,0.5400711252139165,0.508149266242981,13,768,1280,2327.583533379573,0.6493770480155945,0,True,27,0.6493770480155945,0.6341285904248556,0.5604406952857971,13,768,1280,2327.583533379573,0.0,0.0,False,True,correct,incorrect,training_label_rule=manual_stage_f_label:reject_as_noise_or_artifact; final_candidate_status=reject_as_noise_or_artifact; review_bin=manual_stage_f_v3_review; source_batch=batch2; stage_f_label=stage_f_hold; visual_label=reject_as_noise_or_artifact
EPIC_211889692,planet_like,science_like,final_candidate_status:recovered_known_confirmed_planet,recovered_known_confirmed_planet,recovered_positive_control,positive_controls,17.673423499920546,stage_f_planet_like,known_confirmed_planet,,,,0.6479401588439941,0.6354987621307373,0.5993576586246491,0.5793982377419105,0.5882295370101929,13,2560,3072,2364.2583974767113,0.6479401588439941,1,True,28,0.6479401588439941,0.6354987621307373,0.5993576586246491,13,2560,3072,2364.2583974767117,0.0,0.0,False,True,incorrect,correct,training_label_rule=final_candidate_status:recovered_known_confirmed_planet; final_candidate_status=recovered_known_confirmed_planet; review_bin=recovered_positive_control; source_batch=positive_controls; stage_f_label=stage_f_planet_like; stage_h_label=known_confirmed_planet
EPIC_211563576,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,17.142289455598302,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30,0.645002007484436,0.6439140637715658,0.5966962814331055,0.5723769733538995,0.569913387298584,13,3072,3584,2374.7207417951468,0.645002007484436,0,True,29,0.645002007484436,0.6439140637715658,0.5966962814331055,13,3072,3584,2374.7207417951468,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_visual_review; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_hold; visual_label=visual_reject_after_manual_review
EPIC_211551640,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,10.563287809098483,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30,0.6369973421096802,0.6201474865277609,0.5772376477718353,0.5596487476275518,0.576526403427124,13,3072,3584,2374.719857610882,0.6369973421096802,0,True,30,0.6369973421096802,0.6201474865277609,0.5772376477718353,13,3072,3584,2374.719857610882,0.0,0.0,False,True,correct,incorrect,training_label_rule=final_candidate_status:reject_manual_false_positive; final_candidate_status=reject_manual_false_positive; review_bin=manual_false_positive_visual_review; source_batch=stage_f_next10_batch1; stage_f_label=stage_f_planet_like; visual_label=visual_reject_after_manual_review
EPIC_211770415,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch4,16.958293843759748,stage_f_planet_like,,hold_deeper_eval,OC,2026-05-05,0.6365688443183899,0.6168115337689718,0.5637410402297973,0.550051232943168,0.5338596105575562,13,2816,3328,2369.489560745915,0.6365688443183899,0,False,31,0.6365688443183899,0.6168115337689718,0.5637410402297973,13,2816,3328,2369.489560745915,0.0,0.0,False,True,excluded,excluded,training_label_rule=manual_stage_f_label:hold_deeper_eval; final_candidate_status=hold_deeper_eval; review_bin=manual_stage_f_v3_review; source_batch=batch4; stage_f_label=stage_f_planet_like; visual_label=hold_deeper_eval
