epic_id,target_science_like,flux_p_science_like,flux_p_top3_mean,flux_p_top10_mean,flux_num_segments,stage_d_quality_score,stage_f_quality_score,best_period_days,period_support_count,event_family_count,folded_depth_consistency,duration_consistency,odd_even_depth_delta,primary_depth_snr,secondary_depth_snr,secondary_to_primary_depth_ratio,odd_even_depth_delta_explicit,oot_variability_to_depth,alias_best_support_ratio,stage_f_odd_even_penalty,stage_f_secondary_penalty,stage_f_oot_penalty,stage_f_alias_penalty,n_events_long_good,n_events_ge_10_cadences,max_shape_score,spike_fraction_2cadence,depth_ratio,n_events_raw,n_events_after_filters,cluster_center_phase,n_predicted,n_covered,coverage_rate,hit_rate_snr,hit_rate_shape,soft_hit_rate,cache_hits,cache_misses,downloads_done,validations_run,stage_f_best_quality_score,stage_f_rows,stage_f_quality_score_raw,stage_d_positive_score,stage_d_spike_clean,stage_d_odd_even_clean,stage_d_odd_even_penalty
EPIC_211813858,0,0.5686697959899902,0.4659824073314667,0.3646062970161438,13,0.71088861020503,0.5576843546093941,14.53720362356762,13,7,0.8271792056313673,0.8571428571428571,0.4522626293972148,4.508235815995411,0.0,0.0,0.3617146841910373,1.6057306635251722,0.4615384615384615,0.7234293683820746,0.0,0.8028653317625861,0.223076923076923,11,22,0.8361442733286226,0.1388888888888889,12.78462599703723,36,36,0.1390239871446164,5,5,1.0,0.6,0.6,0.6,1,0,0,3,0.5576843546093941,1.0,0.5576843546093941,0.7902563039156274,0.6031746031746031,0.0954747412055704,0.9045252587944296
EPIC_211878672,0,0.7071822881698608,0.6451448599497477,0.4924713939428329,13,0.5887875240625448,0.2866786727101217,10.716529819124844,12,5,0.702255420152783,1.0,0.4644882221400456,3.3834864653572074,1.5496674161889905,0.5893709112309939,0.3753446363522353,1.4604826671367306,0.5,0.7506892727044706,1.0,0.7302413335683653,0.3,12,23,0.8853581922368572,0.2424242424242424,25.93119712533738,33,33,0.4132689921444665,7,7,1.0,0.2857142857142857,0.1428571428571428,0.2857142857142857,1,0,0,3,0.2866786727101217,1.0,0.2866786727101217,0.6765037394944089,0.3073593073593074,0.0710235557199088,0.9289764442800912
EPIC_211887206,0,0.6916623115539551,0.5632018744945526,0.4724114596843719,13,0.6535368834776326,0.4730456955882819,16.447552240118966,12,6,0.7496720298217943,0.5909090909090909,0.6119158456281801,3.952763014459257,0.0,0.0,0.6836796591255083,2.4644314325483214,0.4166666666666667,1.0,0.0,1.0,0.1333333333333334,9,21,0.8247170500711752,0.1212121212121212,25.2909653122875,33,33,0.3465786803647431,4,4,1.0,0.75,0.25,0.75,1,0,0,3,0.4730456955882819,1.0,0.4730456955882819,0.7252508715200778,0.6536796536796536,0.0,1.0
EPIC_211926132,0,0.6761777400970459,0.6510870655377706,0.5633841931819916,13,0.7819009475612353,0.4929248145010254,16.723298121680273,14,6,0.9048062860875516,0.7692307692307692,0.0713308544229569,4.457866928243464,,0.0,2.570075124588972,2.281403955099687,0.3571428571428571,1.0,0.0,1.0,0.0142857142857142,8,16,0.8209315443933785,0.0416666666666666,25.75734719789685,24,24,0.1493376868624689,5,5,1.0,0.8,0.4,0.8,1,0,0,3,0.4929248145010254,1.0,0.4929248145010254,0.7627497403312845,0.8809523809523812,0.8573382911540862,0.1426617088459138
EPIC_211954033,1,0.6687077879905701,0.6308594743410746,0.549836179614067,13,0.7606405369679347,0.7542135646601965,11.441882991133753,12,6,0.8382519101349952,0.9777777777777776,0.3088052918119291,80.20641397919435,0.0,0.0,0.3088052918119291,1.00796869264487,0.5833333333333334,0.6176105836238582,0.0,0.503984346322435,0.4666666666666668,11,19,0.8636341031574459,0.2307692307692307,18.475595204680264,26,26,0.8028389957965737,6,6,1.0,1.0,0.5,1.0,1,0,0,3,0.7542135646601965,1.0,0.7542135646601965,0.8482514010179772,0.3406593406593408,0.3823894163761417,0.6176105836238582
EPIC_211955365,0,0.6209514737129211,0.6060840884844462,0.5684638679027557,13,0.652386431029926,0.6295794524686625,13.515559290237206,14,5,0.7186482147857511,0.75,0.1033699333405586,3.7643122561616216,,0.0,0.2361031708487822,1.4365908008427897,0.3571428571428571,0.4722063416975644,0.0,0.7182954004213948,0.0142857142857142,9,15,0.7965873008763289,0.25,28.951430703449955,24,24,0.0155818875175332,5,5,1.0,0.6,0.2,0.6,1,0,0,3,0.6295794524686625,1.0,0.6295794524686625,0.6771691869718791,0.2857142857142857,0.7932601333188828,0.2067398666811172
EPIC_211988531,0,0.6275991201400757,0.6090643803278605,0.5480101257562637,13,0.7016836847032856,0.873690739044726,14.496263978912111,13,5,0.7404849623190014,0.9583333333333334,0.1847461582127066,57.84921430856959,,0.0,0.1847461582127066,0.401374738166655,0.4615384615384615,0.3694923164254132,0.0,0.2006873690833275,0.223076923076923,4,10,0.7812440376860006,0.2272727272727272,30.9298795450156,22,22,0.65772061454775,5,5,1.0,1.0,0.6,1.0,1,0,0,3,0.873690739044726,1.0,0.873690739044726,0.748023843442843,0.3506493506493507,0.6305076835745869,0.3694923164254132
EPIC_212001099,1,0.8128641843795776,0.7879082560539246,0.7649751782417298,427,0.6962114784793515,0.8760970094751621,16.325087564604473,13,5,0.9872136877524216,0.75,0.058047152180234,8.914151086678777,0.0,0.0,0.1045146379888401,0.2728692692290266,0.3076923076923077,0.2090292759776802,0.0,0.1364346346145133,0.0,8,19,0.8263117277737821,0.1071428571428571,13.907826780338732,28,28,0.8343166464806598,5,5,1.0,0.4,0.2,0.4,1,0,0,3,0.8760970094751621,1.0,0.8760970094751621,0.6758670564389718,0.6938775510204083,0.883905695639532,0.116094304360468
EPIC_211732801,0,0.970463216304779,0.9662604133288064,0.92841255068779,13,0.6903658530804826,0.25,8.499644226245664,15,7,0.6824698421846229,0.6666666666666666,0.158426471749538,,,,,,,0.0,0.0,0.0,0.0,4,11,0.8527919232816045,0.2666666666666666,39.29971634484868,30,30,0.1393473536963598,9,8,0.8888888888888888,1.0,0.5,1.0,1,0,0,3,,,,0.7407976177644244,0.2380952380952382,0.683147056500924,0.316852943499076
EPIC_211425098,0,0.6942556500434875,0.6700877547264099,0.599196708202362,13,0.7842805349856147,0.25,12.238654773791268,12,9,0.6942596401724904,0.5499999999999999,0.0007860988334796,,,,,,,0.0,0.0,0.0,0.0,10,12,0.8584246258398098,0.2352941176470588,17.442358768641615,17,17,0.8893543510346331,6,6,1.0,1.0,0.8333333333333334,1.0,1,0,0,3,,,,0.8108856517759918,0.3277310924369748,0.9984278023330408,0.0015721976669592
EPIC_211530033,0,0.6364273428916931,0.6301928957303365,0.603012990951538,13,0.7969143077790355,0.25,15.50762230141845,10,6,0.9093175626572692,0.9361702127659576,0.1964761154202804,,,,,,,0.0,0.0,0.0,0.0,11,16,0.808978002365144,0.1153846153846153,24.42796091623582,26,26,0.9839624505851532,5,5,1.0,1.0,0.6,1.0,1,0,0,3,,,,0.831646753932946,0.6703296703296706,0.6070477691594391,0.3929522308405608
EPIC_211396246,0,0.6674925088882446,0.6661770542462667,0.6107338428497314,13,0.6774223476782854,0.25,5.0670921209678,8,6,0.8319569702913201,0.9523809523809524,0.0567254279399151,,,,,,,0.0,0.0,0.0,0.0,6,15,0.8013982456171866,0.2083333333333333,21.73483396404102,24,24,0.9107876341557408,15,15,1.0,0.6666666666666666,0.2,0.6666666666666666,1,0,0,3,,,,0.6843955527791447,0.4047619047619049,0.8865491441201698,0.1134508558798302
EPIC_211833851,0,0.7019983530044556,0.6410679221153259,0.5838991194963455,13,0.6164272422704219,0.25,18.61323452599368,9,6,0.8429666489919493,0.75,0.1137014886502996,,,,,,,0.0,0.0,0.0,0.0,4,11,0.7992319016769379,0.1851851851851851,22.82286307550474,27,27,0.1699478377463434,4,4,1.0,0.5,0.25,0.5,1,0,0,3,,,,0.6152592168860042,0.4708994708994711,0.7725970226994008,0.2274029773005992
EPIC_211972767,0,0.6733503341674805,0.6440232992172241,0.5533951133489609,13,0.6953084451485491,0.25,17.10134562114399,23,8,0.8607203736069955,0.7209302325581395,0.8984440684348493,,,,,,,0.0,0.0,0.0,0.0,8,23,0.8169500641238717,0.0909090909090909,7.738778295429903,33,33,0.1217090886646168,4,4,1.0,1.0,1.0,1.0,1,0,0,3,,,,0.9130305713721616,0.7402597402597403,0.0,1.0
EPIC_211910082,0,0.6361042261123657,0.6265238126118978,0.589812284708023,13,0.7086768217347388,0.25,19.798300977400004,8,4,0.88281364599107,0.9791666666666669,0.3806582216554177,,,,,,,0.0,0.0,0.0,0.0,8,12,0.8745708324168595,0.1578947368421052,30.683332171095635,19,19,0.6525545245530305,3,3,1.0,1.0,0.6666666666666666,1.0,1,0,0,3,,,,0.777800982185503,0.548872180451128,0.2386835566891646,0.7613164433108354
EPIC_211569204,0,0.6856498718261719,0.6589184006055196,0.5141399294137955,13,0.6338573102462901,0.25,14.659857875562466,11,4,0.8743804446671559,0.7941176470588235,0.3956460734262026,,,,,,,0.0,0.0,0.0,0.0,12,17,0.8369947403705666,0.08,52.17645309942983,25,25,0.4440226314457466,5,5,1.0,0.4,0.2,0.4,1,0,0,3,,,,0.6654207707737014,0.7714285714285714,0.2087078531475947,0.7912921468524052
