pl_name,k2_name,epic_hostname,default_flag,disposition,disp_refname,k2_campaigns,pl_orbper,rowupdate,releasedate
"EPIC 247988033.01",,"EPIC 247988033",1,"CANDIDATE","Zink et al. 2021","13",5.16415700000,"2021-11-19","2021-11-19"
"EPIC 248018863.01",,"EPIC 248018863",1,"CANDIDATE","Zink et al. 2021","13",18.00105300000,"2021-11-19","2021-11-19"
"EPIC 248222323.01",,"EPIC 248222323",1,"CANDIDATE","Zink et al. 2021","13",9.42690100000,"2021-11-19","2021-11-19"
"EPIC 248420036.01",,"EPIC 248420036",1,"CANDIDATE","Zink et al. 2021","14",4.71688000000,"2021-11-19","2021-11-19"
"K2-266 b","K2-266 b","EPIC 248435473",1,"CONFIRMED","Rodriguez et al. 2018","14",0.65852400000,"2022-10-31","2022-10-31"
"K2-266 c","K2-266 c","EPIC 248435473",1,"CONFIRMED","Rodriguez et al. 2018","14",7.81400000000,"2022-10-31","2022-10-31"
"K2-266 d","K2-266 d","EPIC 248435473",1,"CONFIRMED","Rodriguez et al. 2018","14",14.69700000000,"2022-10-31","2022-10-31"
"K2-266 d","K2-266 d","EPIC 248435473",0,"CONFIRMED","Rodriguez et al. 2018","14",14.69808003166,"2024-12-10","2024-12-10"
"K2-266 d","K2-266 d","EPIC 248435473",0,"CONFIRMED","Rodriguez et al. 2018","14",14.69820000000,"2024-03-04","2024-03-04"
"K2-266 e","K2-266 e","EPIC 248435473",1,"CONFIRMED","Rodriguez et al. 2018","14",19.48200000000,"2022-10-31","2022-10-31"
"K2-266 e","K2-266 e","EPIC 248435473",0,"CONFIRMED","Rodriguez et al. 2018","14",19.48348329613,"2024-12-10","2024-12-10"
"K2-398 b","K2-398 b","EPIC 248463350",1,"CONFIRMED","Christiansen et al. 2022","14",6.39302500000,"2022-03-16","2022-03-16"
"K2-398 b","K2-398 b","EPIC 248463350",0,"CONFIRMED","Christiansen et al. 2022","14",6.39302500000,"2021-11-19","2021-11-19"
"K2-398 c","K2-398 c","EPIC 248463350",1,"CONFIRMED","Christiansen et al. 2022","14",18.78783900000,"2022-03-16","2022-03-16"
"K2-398 c","K2-398 c","EPIC 248463350",0,"CONFIRMED","Christiansen et al. 2022","14",18.78783900000,"2021-11-19","2021-11-19"
"K2-399 b","K2-399 b","EPIC 248472140",1,"REFUTED","Lillo-Box et al. 2024","14",0.75997800000,"2022-03-16","2022-03-16"
"K2-399 b","K2-399 b","EPIC 248472140",0,"REFUTED","Lillo-Box et al. 2024","14",0.75997800000,"2021-11-19","2021-11-19"
"K2-399 b","K2-399 b","EPIC 248472140",0,"REFUTED","Lillo-Box et al. 2024","14",0.76001901813,"2026-03-05","2024-09-16"
"K2-321 b","K2-321 b","EPIC 248480671",1,"CONFIRMED","Castro Gonz&aacute;lez et al. 2020","14",2.29797490000,"2024-11-20","2024-11-20"
