corrected_physical_class,campaign,total_unique_epic_hosts,physical_loss_eligible_hosts,accessible_local_light_curves,accessible_512_sample_tensors,existing_cnn_probabilities,existing_128d_embeddings,nominal_numerical_diagnostics,p_half_p_2p_diagnostics,trusted_periods,fallback_or_missing_periods,cross_class_conflicts,missing_feature_patterns_json
false_positive_eb_or_variable,17,5,5,2,0,0,0,0,0,0,5,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":3}"
false_positive_eb_or_variable,18,58,58,48,36,6,6,4,2,1,57,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":12,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":10,""complete"":1,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":30,""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""p_half_p_2p_diagnostics+trusted_period"":2,""trusted_period"":1}"
false_positive_eb_or_variable,2,23,23,7,0,0,0,0,0,0,23,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":7,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":16}"
false_positive_eb_or_variable,3,6,6,0,0,0,0,0,0,0,6,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":6}"
false_positive_eb_or_variable,4,13,13,0,0,0,0,0,0,0,13,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":13}"
false_positive_eb_or_variable,5,135,128,135,135,84,84,72,2,1,134,0,"{""complete"":1,""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":51,""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":12,""p_half_p_2p_diagnostics+trusted_period"":70,""trusted_period"":1}"
false_positive_eb_or_variable,6,5,5,2,0,0,0,0,0,0,5,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":3}"
false_positive_eb_or_variable,7,1,1,0,0,0,0,0,0,0,1,0,"{""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
false_positive_eb_or_variable,8,2,2,1,0,0,0,0,0,0,2,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1,""accessible_local_light_curve+accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":1}"
false_positive_eb_or_variable,unknown,2,2,2,0,0,0,0,0,0,2,0,"{""accessible_512_sample_tensor+existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":2}"
reject_as_noise_or_artifact,5,184,167,184,184,167,167,114,0,0,184,0,"{""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":17,""nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":53,""p_half_p_2p_diagnostics+trusted_period"":114}"
uncertain_hold,5,37,0,37,37,0,0,0,0,0,37,0,"{""existing_cnn_probability+existing_128d_embedding+nominal_numerical_diagnostics+p_half_p_2p_diagnostics+trusted_period"":37}"
