feature,normalized_label,rows,missing_count,missing_fraction
p_secondary_to_primary_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
p_event_stack_coherence_score,candidate_like,9,0,0.0
p_event_stack_coherence_score,false_positive_eb_or_variable,85,85,1.0
p_event_stack_coherence_score,reject_as_noise_or_artifact,174,174,1.0
p_event_timing_rms_phase,candidate_like,9,0,0.0
p_event_timing_rms_phase,false_positive_eb_or_variable,85,85,1.0
p_event_timing_rms_phase,reject_as_noise_or_artifact,174,174,1.0
p_event_epoch_coverage,candidate_like,9,0,0.0
p_event_epoch_coverage,false_positive_eb_or_variable,85,85,1.0
p_event_epoch_coverage,reject_as_noise_or_artifact,174,174,1.0
p_event_depth_mad_fraction,candidate_like,9,0,0.0
p_event_depth_mad_fraction,false_positive_eb_or_variable,85,85,1.0
p_event_depth_mad_fraction,reject_as_noise_or_artifact,174,174,1.0
p_local_baseline_event_count,candidate_like,9,0,0.0
p_local_baseline_event_count,false_positive_eb_or_variable,85,85,1.0
p_local_baseline_event_count,reject_as_noise_or_artifact,174,174,1.0
p_median_abs_baseline_slope_per_day,candidate_like,9,1,0.1111111111111111
p_median_abs_baseline_slope_per_day,false_positive_eb_or_variable,85,85,1.0
p_median_abs_baseline_slope_per_day,reject_as_noise_or_artifact,174,174,1.0
p_median_abs_left_right_offset,candidate_like,9,1,0.1111111111111111
p_median_abs_left_right_offset,false_positive_eb_or_variable,85,85,1.0
p_median_abs_left_right_offset,reject_as_noise_or_artifact,174,174,1.0
p_both_sidebands_fraction,candidate_like,9,0,0.0
p_both_sidebands_fraction,false_positive_eb_or_variable,85,85,1.0
p_both_sidebands_fraction,reject_as_noise_or_artifact,174,174,1.0
p_baseline_slope_depth_fraction,candidate_like,9,1,0.1111111111111111
p_baseline_slope_depth_fraction,false_positive_eb_or_variable,85,85,1.0
p_baseline_slope_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
p_baseline_offset_depth_fraction,candidate_like,9,1,0.1111111111111111
p_baseline_offset_depth_fraction,false_positive_eb_or_variable,85,85,1.0
p_baseline_offset_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
2p_period_days,candidate_like,9,0,0.0
2p_period_days,false_positive_eb_or_variable,85,85,1.0
2p_period_days,reject_as_noise_or_artifact,174,174,1.0
2p_cluster_center_phase,candidate_like,9,0,0.0
2p_cluster_center_phase,false_positive_eb_or_variable,85,85,1.0
2p_cluster_center_phase,reject_as_noise_or_artifact,174,174,1.0
2p_event_support_count,candidate_like,9,0,0.0
2p_event_support_count,false_positive_eb_or_variable,85,85,1.0
2p_event_support_count,reject_as_noise_or_artifact,174,174,1.0
2p_event_family_count,candidate_like,9,0,0.0
2p_event_family_count,false_positive_eb_or_variable,85,85,1.0
2p_event_family_count,reject_as_noise_or_artifact,174,174,1.0
2p_primary_depth,candidate_like,9,0,0.0
2p_primary_depth,false_positive_eb_or_variable,85,85,1.0
2p_primary_depth,reject_as_noise_or_artifact,174,174,1.0
2p_primary_depth_snr,candidate_like,9,1,0.1111111111111111
2p_primary_depth_snr,false_positive_eb_or_variable,85,85,1.0
2p_primary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
2p_duration_days,candidate_like,9,0,0.0
2p_duration_days,false_positive_eb_or_variable,85,85,1.0
2p_duration_days,reject_as_noise_or_artifact,174,174,1.0
2p_odd_depth_median,candidate_like,9,0,0.0
2p_odd_depth_median,false_positive_eb_or_variable,85,85,1.0
2p_odd_depth_median,reject_as_noise_or_artifact,174,174,1.0
2p_even_depth_median,candidate_like,9,0,0.0
2p_even_depth_median,false_positive_eb_or_variable,85,85,1.0
2p_even_depth_median,reject_as_noise_or_artifact,174,174,1.0
2p_odd_even_depth_ratio,candidate_like,9,0,0.0
2p_odd_even_depth_ratio,false_positive_eb_or_variable,85,85,1.0
2p_odd_even_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
2p_oot_to_depth,candidate_like,9,4,0.4444444444444444
2p_oot_to_depth,false_positive_eb_or_variable,85,85,1.0
2p_oot_to_depth,reject_as_noise_or_artifact,174,174,1.0
2p_secondary_depth,candidate_like,9,0,0.0
2p_secondary_depth,false_positive_eb_or_variable,85,85,1.0
2p_secondary_depth,reject_as_noise_or_artifact,174,174,1.0
2p_secondary_depth_snr,candidate_like,9,1,0.1111111111111111
2p_secondary_depth_snr,false_positive_eb_or_variable,85,85,1.0
2p_secondary_depth_snr,reject_as_noise_or_artifact,174,174,1.0
2p_secondary_to_primary_depth_ratio,candidate_like,9,4,0.4444444444444444
2p_secondary_to_primary_depth_ratio,false_positive_eb_or_variable,85,85,1.0
2p_secondary_to_primary_depth_ratio,reject_as_noise_or_artifact,174,174,1.0
2p_event_stack_coherence_score,candidate_like,9,0,0.0
2p_event_stack_coherence_score,false_positive_eb_or_variable,85,85,1.0
2p_event_stack_coherence_score,reject_as_noise_or_artifact,174,174,1.0
2p_event_timing_rms_phase,candidate_like,9,0,0.0
2p_event_timing_rms_phase,false_positive_eb_or_variable,85,85,1.0
2p_event_timing_rms_phase,reject_as_noise_or_artifact,174,174,1.0
2p_event_epoch_coverage,candidate_like,9,0,0.0
2p_event_epoch_coverage,false_positive_eb_or_variable,85,85,1.0
2p_event_epoch_coverage,reject_as_noise_or_artifact,174,174,1.0
2p_event_depth_mad_fraction,candidate_like,9,0,0.0
2p_event_depth_mad_fraction,false_positive_eb_or_variable,85,85,1.0
2p_event_depth_mad_fraction,reject_as_noise_or_artifact,174,174,1.0
2p_local_baseline_event_count,candidate_like,9,0,0.0
2p_local_baseline_event_count,false_positive_eb_or_variable,85,85,1.0
2p_local_baseline_event_count,reject_as_noise_or_artifact,174,174,1.0
2p_median_abs_baseline_slope_per_day,candidate_like,9,1,0.1111111111111111
2p_median_abs_baseline_slope_per_day,false_positive_eb_or_variable,85,85,1.0
2p_median_abs_baseline_slope_per_day,reject_as_noise_or_artifact,174,174,1.0
2p_median_abs_left_right_offset,candidate_like,9,1,0.1111111111111111
2p_median_abs_left_right_offset,false_positive_eb_or_variable,85,85,1.0
2p_median_abs_left_right_offset,reject_as_noise_or_artifact,174,174,1.0
2p_both_sidebands_fraction,candidate_like,9,0,0.0
2p_both_sidebands_fraction,false_positive_eb_or_variable,85,85,1.0
2p_both_sidebands_fraction,reject_as_noise_or_artifact,174,174,1.0
2p_baseline_slope_depth_fraction,candidate_like,9,1,0.1111111111111111
2p_baseline_slope_depth_fraction,false_positive_eb_or_variable,85,85,1.0
2p_baseline_slope_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
2p_baseline_offset_depth_fraction,candidate_like,9,1,0.1111111111111111
2p_baseline_offset_depth_fraction,false_positive_eb_or_variable,85,85,1.0
2p_baseline_offset_depth_fraction,reject_as_noise_or_artifact,174,174,1.0
cnn_probability,candidate_like,9,0,0.0
cnn_probability,false_positive_eb_or_variable,85,0,0.0
cnn_probability,reject_as_noise_or_artifact,174,0,0.0
cnn_segment_count,candidate_like,9,0,0.0
cnn_segment_count,false_positive_eb_or_variable,85,0,0.0
cnn_segment_count,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_000,candidate_like,9,0,0.0
cnn_embedding_000,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_000,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_001,candidate_like,9,0,0.0
cnn_embedding_001,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_001,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_002,candidate_like,9,0,0.0
cnn_embedding_002,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_002,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_003,candidate_like,9,0,0.0
cnn_embedding_003,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_003,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_004,candidate_like,9,0,0.0
cnn_embedding_004,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_004,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_005,candidate_like,9,0,0.0
cnn_embedding_005,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_005,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_006,candidate_like,9,0,0.0
cnn_embedding_006,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_006,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_007,candidate_like,9,0,0.0
cnn_embedding_007,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_007,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_008,candidate_like,9,0,0.0
cnn_embedding_008,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_008,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_009,candidate_like,9,0,0.0
cnn_embedding_009,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_009,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_010,candidate_like,9,0,0.0
cnn_embedding_010,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_010,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_011,candidate_like,9,0,0.0
cnn_embedding_011,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_011,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_012,candidate_like,9,0,0.0
cnn_embedding_012,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_012,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_013,candidate_like,9,0,0.0
cnn_embedding_013,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_013,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_014,candidate_like,9,0,0.0
cnn_embedding_014,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_014,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_015,candidate_like,9,0,0.0
cnn_embedding_015,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_015,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_016,candidate_like,9,0,0.0
cnn_embedding_016,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_016,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_017,candidate_like,9,0,0.0
cnn_embedding_017,false_positive_eb_or_variable,85,0,0.0
cnn_embedding_017,reject_as_noise_or_artifact,174,0,0.0
cnn_embedding_018,candidate_like,9,0,0.0
